#
EC2D  U         47.8112         47.8112        440.9696        1667.4228
EC3D  U         42.5612         42.5612        468.8483        2015.1701
ID1D  U         36.1421         36.1421         99.7816         253.6920
 1061525     736028.9324996  -129.9976    45.9650    1.531
AS1E  U         19.3918         19.3918        100.2185         489.9618
AS2E  U         18.1370         18.1370        309.2650         678.7373
CC1E  U         19.8343         19.8343       1012.9437        1751.3720
EC1E  U         27.0411         27.0411       1983.6374        7246.8487
EC2E  U         16.7295         16.7295        547.2823        2118.5411
EC3E  U         30.9920         30.9920        633.1185        2357.3450
ID1E  U         21.3814         21.3814        109.4461         285.4395
 1069146     736035.0909922  -129.9976    45.9650    1.554
AS1F  U         29.1242         29.1242         39.7330         172.1516
AS2F  U         27.1730         27.1730        110.2427         236.7800
CC1F  U         31.6907         31.6907        328.3739         529.2112
EC1F  U         20.0637         20.0637        731.1484        2449.1091
EC2F  U         20.9640         20.9640        195.6016         734.8236
EC3F  U         28.0730         28.0730        236.9020         820.3283
 1063363     736032.6406540  -129.9977    45.9648    1.536
AS2G  U         26.8440         26.8440         78.8846         111.7279
CC1G  U         34.0750         34.0750        197.5706         336.5797
EC1G  U         29.0963         29.0963        323.9639        1278.1495
EC2G  U         19.0509         19.0509         99.3485         359.9602
EC3G  U         36.8884         36.8884        107.5358         395.0134
 1113460     736058.4428810  -129.9971    45.9649    1.517
AS1H  U         26.2229         26.2229         68.3682         251.1530
AS2H  U         44.7873         44.7873        188.2923         274.3833
CC1H  U          1.0000          1.0000          1.0000           1.0000
EC1H  U         69.0619         69.0619        966.4016        3774.3249
EC2H  U         31.8449         31.8449        278.5203        1055.3138
EC3H  U         49.6433         49.6433        312.8604        1240.5492
ID1H  U         25.2630         25.2630         76.0818         160.7013
 1077900     736039.9772359  -129.9976    45.9650    1.522
AS1I  U         32.6875         32.6875         45.8058         157.0434
AS2I  U         27.8278         27.8278        113.6927         227.4816
CC1I  U         31.9597         31.9597        339.0223         583.4194
EC1I  U         15.5437         15.5437        675.8705        2308.0145
EC2I  U         18.4179         18.4179        188.3739         691.7578
EC3I  U         28.8433         28.8433        222.7366         756.4363
 1129576     736068.4677440  -129.9975    45.9648    1.504
AS1J  U         21.5535         21.5535         45.0369         179.4290
AS2J  U         33.5092         33.5092        118.7582         200.9489
CC1J  U         34.8389         34.8389        381.7338         655.1552
EC1J  U         24.2720         24.2720        791.4159        2914.4752
EC2J  U         22.5446         22.5446        224.3044         778.4463
EC3J  U         25.3658         25.3658        231.3897         921.0518
ID1J  U         24.2504         24.2504         47.1448         121.6365
 1058165     736026.0243402  -129.9977    45.9648    1.559
AS2K  U         50.5393         50.5393         93.2046         164.4516
CC1K  U         50.9609         50.9609        221.8225         376.1262
EC1K  U         38.2715         38.2715        478.8885        1741.6992
EC2K  U         29.0222         29.0222        136.6538         510.9569
EC3K  U         42.5423         42.5423        159.6472         592.1447
 1090706     736046.9414539  -129.9979    45.9652    1.535
AS2L  U         34.5850         34.5850         58.5064          96.7301
CC1L  U         98.8290         98.8290        174.4298         265.7711
EC1L  U         32.5839         32.5839        255.6612         919.8912
EC2L  U         22.7898         22.7898         78.7032         296.5402
EC3L  U         34.3616         34.3616         88.4824         334.7493
#
 63   736051.9416722   -129.9979   45.9634   1.45
 1081865     736042.2225916  -129.9980    45.9635    1.453
AS1A  U         40.4056         40.4056         97.0491         475.9099
AS2A  U         28.2470         28.2470        130.4477         528.8523
CC1A  U         55.1718         55.1718        902.5173        2070.4459
EC1A  U         29.4825         29.4825        937.0951        5504.4095
EC2A  U         35.3212         35.3212        351.9060        1507.3274
EC3A  U         37.1342         37.1342        196.6428        3299.5358
ID1A  U         32.8307         32.8307         52.8229         301.4150
 1075417     736038.5553887  -129.9980    45.9632    1.450
AS2B  U         40.9837         40.9837         85.5236         366.1478
CC1B  U         39.0583         39.0583        586.3190        1471.7997
EC1B  U         19.0962         19.0962        797.9439        4300.1027
EC2B  U         20.1903         20.1903        293.8301        1207.9697
EC3B  U         25.1037         25.1037        171.5376        2485.3218
ID1B  U         26.7289         26.7289         42.1080         223.8236
 1139123     736076.5893048  -129.9978    45.9634    1.407
AS1C  U         34.4329         34.4329        206.4649        1420.7896
AS2C  U         22.0486         22.0486        329.9983        1350.0753
CC1C  U         38.3438         38.3438       2344.5524        6889.8152
EC1C  U         22.5872         22.5872       3300.9432       19857.6095
EC2C  U         20.8110         20.8110       1504.7651        5320.3186
EC3C  U         49.8737         49.8737        792.7981       11425.0552
ID1C  U         22.7973         22.7973        179.0013         957.5710
 1071253     736035.9333398  -129.9978    45.9634    1.463
AS1D  U          1.0000          1.0000          1.0000           1.0000
AS2D  U         27.9646         27.9646        121.0735         468.6226
CC1D  U         34.7287         34.7287       1132.4575        2578.0648
EC1D  U         23.8278         23.8278       1576.9467        7465.3464
EC2D  U         17.0499         17.0499        620.2176        2103.3112
EC3D  U         48.5944         48.5944        377.1341        3750.5092
ID1D  U         27.7109         27.7109         91.0999         345.5160
 1086067     736044.8840939  -129.9979    45.9632    1.447
AS2E  U         32.0691         32.0691        108.7592         424.7755
CC1E  U         42.7838         42.7838       1064.5061        2203.7197
EC1E  U         20.4522         20.4522       1463.6428        6523.8156
EC2E  U         20.8006         20.8006        570.1111        1793.7843
EC3E  U         35.8981         35.8981        350.2558        3164.5455
ID1E  U         33.1338         33.1338         79.6524         291.1926
 1140955     736077.7906886  -129.9979    45.9634    1.441
AS1F  U         49.0311         49.0311        113.3352         398.0019
CC1F  U        192.3745        192.3745        916.6565        2220.6734
EC1F  U        241.3028        241.3028       1128.3982        6233.8561
EC2F  U         63.8281         63.8281        441.5384        1641.1619
EC3F  U        102.3510        102.3510        266.4861        3267.5742
ID1F  U         44.2724         44.2724         81.3006         308.6428
 1108956     736055.8219782  -129.9980    45.9638    1.473
AS1G  U         31.7947         31.7947        133.8179         672.2132
AS2G  U         29.0560         29.0560        183.2856         741.3315
CC1G  U         28.8419         28.8419       1416.0314        3445.6029
EC1G  U         21.6743         21.6743       1818.5827        9351.4896
EC2G  U         19.3533         19.3533        716.0703        2568.6715
EC3G  U         27.5289         27.5289        418.5627        5179.4250
ID1G  U         29.2201         29.2201        105.0677         472.9852
 1073270     736037.0655561  -129.9980    45.9629    1.424
AS2H  U         29.9240         29.9240        102.4258         392.3581
CC1H  U         36.8001         36.8001        547.1476        1519.9109
EC1H  U         26.8840         26.8840        912.9049        4459.3016
EC2H  U         27.3746         27.3746        366.0994        1259.0877
EC3H  U         36.2162         36.2162        205.8403        2654.8773
 1088773     736045.9879698  -129.9980    45.9637    1.461
AS1I  U         27.1684         27.1684        807.0671        4362.8302
AS2I  U         27.6777         27.6777       1185.1509        5140.3568
CC1I  U         35.8361         35.8361       7775.5560       22081.8453
EC1I  U         28.6105         28.6105      11576.4407       66775.9985
EC2I  U         22.0096         22.0096       4606.3678       18498.5534
EC3I  U         31.2434         31.2434       2655.5620       38287.3981
ID1I  U         28.6354         28.6354        609.5031        3277.0770
 1091066     736047.0276635  -129.9979    45.9637    1.466
AS1J  U         21.7913         21.7913        730.1804        4275.1571
AS2J  U         29.0283         29.0283       1119.8158        4827.1146
CC1J  U         31.6094         31.6094       6573.1716       20143.8059
EC1J  U         22.8017         22.8017      10086.8645       63419.8264
EC2J  U         15.0883         15.0883       4142.5883       17339.6057
EC3J  U         26.3222         26.3222       2293.9873       36771.5639
ID1J  U         19.8111         19.8111        519.3918        3075.7132
 1083776     736043.6318278  -129.9979    45.9635    1.457
AS1K  U         24.6038         24.6038        146.5332        1009.7633
AS2K  U         28.2226         28.2226        221.6282         911.7025
CC1K  U         53.5559         53.5559       1668.8597        4279.3742
EC1K  U         24.9085         24.9085       1766.2914       12062.7575
EC2K  U         20.0105         20.0105        814.6166        3246.9485
EC3K  U         42.5802         42.5802        438.6357        6797.5700
ID1K  U         26.3486         26.3486         98.8304         583.1018
 1140948     736077.7896638  -129.9977    45.9636    1.478
AS1L  U        137.8756        137.8756        254.2012        1410.1835
AS2L  U        102.2991        102.2991        411.5402        1492.5567
CC1L  U        290.6692        290.6692       2869.9994        7666.0068
EC1L  U        242.6739        242.6739       2816.7800       20752.8683
EC2L  U         85.4128         85.4128       1373.3484        5643.5737
EC3L  U        139.8884        139.8884        812.0786       11547.5672
ID1L  U         53.1814         53.1814        177.1749         987.8554
#
103   736034.2570294   -129.9978   45.9614   1.39
 1036586     735999.4761423  -129.9978    45.9593    1.342
AS2A  U         47.0545         47.0545         96.2720         405.0512
CC1A  U         77.1118         77.1118       1178.7928        2261.7854
EC1A  U         37.0702         37.0702        246.2327        1722.3092
EC2A  U         34.0253         34.0253        153.4675         590.6867
EC3A  U         55.2950         55.2950        147.2011         996.1319
 1041189     736004.3676941  -129.9978    45.9618    1.399
AS1B  U         59.7855         59.7855        348.8335        1258.8232
AS2B  U         55.4331         55.4331        297.0264        1193.1057
CC1B  U        147.3953        147.3953       9308.1555       14221.1337
EC1B  U         40.1067         40.1067       1500.1131       18113.5763
EC2B  U         45.3756         45.3756       1122.2597        5373.8829
EC3B  U         57.4380         57.4380       1012.5272        8068.0298
ID1B  U         38.1644         38.1644        127.3723         839.0258
 1133813     736072.1116136  -129.9976    45.9621    1.403
AS1C  U         29.7193         29.7193        430.7761        1338.4568
AS2C  U         34.4043         34.4043        348.8058        1462.0304
CC1C  U         37.5090         37.5090       7621.6240        8952.3356
EC1C  U         26.6314         26.6314       2241.6783       23215.8704
EC2C  U         20.0533         20.0533       1578.6746        7149.7217
EC3C  U         31.3179         31.3179       1390.1962        9810.2497
ID1C  U         43.7518         43.7518        179.1840        1022.5040
 1040813     736004.1890017  -129.9970    45.9595    1.325
AS2D  U         40.6976         40.6976         56.3151         223.3672
CC1D  U         63.4575         63.4575        812.6272        1390.1227
EC1D  U         37.7202         37.7202        167.6247        1439.2213
EC2D  U         40.7634         40.7634         99.0559         448.1248
EC3D  U         45.9772         45.9772        110.0689         934.8530
 1046736     736012.1281296  -129.9984    45.9612    1.374
AS1E  U         35.8517         35.8517        379.4416        1153.7230
AS2E  U         34.1928         34.1928        329.9866        1267.4721
CC1E  U        152.9547        152.9547       9528.7519       16444.3469
EC1E  U         44.5687         44.5687       2207.6200       20654.5127
EC2E  U         51.1890         51.1890       1315.8060        5553.5272
EC3E  U         70.2786         70.2786        953.9358        9675.6770
ID1E  U         44.9563         44.9563        139.7363         899.0167
 1136920     736074.6370714  -129.9978    45.9622    1.402
AS1F  U         29.2382         29.2382        302.6939        1086.9480
AS2F  U         27.1910         27.1910        179.7890        1035.3357
CC1F  U         42.9657         42.9657       3982.7919        6171.1257
EC1F  U        129.5319        129.5319       1925.0546       15711.1086
EC2F  U         25.0613         25.0613       1173.6773        4769.9562
EC3F  U         41.0830         41.0830       1070.4426        7358.1007
ID1F  U         26.8815         26.8815        160.2378         743.4098
 1091488     736047.1127628  -129.9978    45.9616    1.383
AS1G  U         20.7216         20.7216         45.1215         135.7557
AS2G  U         21.2422         21.2422         30.7816         143.1132
CC1G  U         31.5933         31.5933        603.6118         724.6581
EC1G  U         16.9588         16.9588        227.3933        1806.2291
EC2G  U         15.6827         15.6827        130.6711         527.6752
EC3G  U         26.1141         26.1141        132.1715         884.8829
 1075832     736038.8252219  -129.9979    45.9621    1.442
AS1H  U         24.2536         24.2536        479.8892        1740.2976
AS2H  U         37.0070         37.0070        292.9311        1701.0415
CC1H  U         44.8719         44.8719       7035.2394        9616.0434
EC1H  U         22.8866         22.8866       2973.5802       25609.8716
EC2H  U         20.9110         20.9110       1778.1347        7703.5882
EC3H  U         33.4544         33.4544       1699.2959       12388.1372
ID1H  U         21.3238         21.3238        237.7304        1222.4131
 1096684     736049.5433011  -129.9978    45.9618    1.409
AS1I  U         58.3719         58.3719        504.8899        1890.6558
AS2I  U         49.3850         49.3850        280.0685        1834.5149
CC1I  U        141.4029        141.4029       7457.9442       10481.9755
EC1I  U         78.1889         78.1889       3120.0899       28192.3665
EC2I  U         39.2580         39.2580       1924.4837        8455.8731
EC3I  U         59.5457         59.5457       1784.3705       13444.8092
ID1I  U         40.1037         40.1037        259.1546        1307.5263
 1066942     736034.1685575  -129.9978    45.9620    1.410
AS1J  U         36.6024         36.6024        209.2764         616.6875
AS2J  U         34.8261         34.8261        124.9166         559.5446
CC1J  U         49.3868         49.3868       2319.9213        3566.1528
EC1J  U         34.5500         34.5500       1492.7258       11360.1472
EC2J  U         26.2230         26.2230        788.4345        3280.3323
EC3J  U         44.4642         44.4642        664.3072        4478.4140
ID1J  U         32.3004         32.3004        109.8741         487.2194
 1078248     736040.2678271  -129.9978    45.9619    1.406
AS1K  U         23.6504         23.6504        186.6978         617.1536
AS2K  U         34.9672         34.9672         99.3884         509.0283
CC1K  U          1.0000          1.0000          1.0000           1.0000
EC1K  U         23.5744         23.5744       1450.1545       11289.0340
EC2K  U         25.4067         25.4067        742.5506        3269.0307
EC3K  U         26.4913         26.4913        593.3110        4429.2055
ID1K  U         19.3196         19.3196        111.2663         500.9331
#
113   736027.0400305   -129.9991   45.9694   1.84
 1091132     736047.0416022  -129.9991    45.9695    1.935
AS1A  U         38.0376         38.0376         90.8892         272.6166
AS2A  U         20.3022         20.3022        173.5018         593.5741
CC1A  U         45.4649         45.4649        313.4916        1127.2794
EC1A  U         47.9828         47.9828        646.9846        2252.6507
EC2A  U         16.8588         16.8588        274.5995         676.0230
EC3A  U         30.2171         30.2171        228.9209         857.1368
 1043542     736008.2161717  -129.9996    45.9694    1.792
AS1B  U         42.9958         42.9958         95.5055         308.1561
AS2B  U         47.4338         47.4338        218.6899         631.6426
CC1B  U         46.6476         46.6476        429.6892        1813.3429
EC1B  U         31.3172         31.3172        475.9194        2255.2781
EC2B  U         22.8469         22.8469        315.4447         642.2244
EC3B  U         42.9918         42.9918        189.7809         984.5076
ID1B  U         32.9095         32.9095         60.1646         177.7634
 1092116     736047.2983873  -129.9995    45.9695    1.850
AS1C  U          1.0000          1.0000          1.0000           1.0000
AS2C  U         21.9375         21.9375        544.0749        1399.1359
CC1C  U         25.2891         25.2891        790.2853        2255.8086
EC1C  U         24.2265         24.2265       1057.8274        4242.5605
EC2C  U         16.3764         16.3764        688.2943        1154.3357
EC3C  U         19.5402         19.5402        411.2347        1792.5362
ID1C  U         19.6358         19.6358         79.6620         298.0895
 1091129     736047.0407503  -129.9994    45.9692    1.727
AS1D  U         23.9190         23.9190         60.6827         150.6616
AS2D  U         19.0886         19.0886        121.5066         325.7171
CC1D  U         39.8004         39.8004        200.0566         592.2366
EC1D  U         21.5705         21.5705        267.7725        1100.2758
EC2D  U         23.2299         23.2299        134.6615         362.0155
EC3D  U         82.1548         82.1548        150.0045         479.9771
 1061937     736031.5628811  -129.9991    45.9695    1.788
AS1E  U          1.0000          1.0000          1.0000           1.0000
AS2E  U         32.9878         32.9878        143.4397         378.9831
CC1E  U         37.2934         37.2934        265.9001         786.1875
EC1E  U         36.9567         36.9567        400.6879        1750.1588
EC2E  U         27.5107         27.5107        160.7664         552.3090
EC3E  U         46.5303         46.5303        180.2930         713.0829
