#
EC1C  D         42.6821         44.7845        288.6096        1804.4615
EC2C  D         27.2185         61.7786        313.6261        1475.5495
EC3C  D         30.8932         95.8160        480.9625        2633.9854
ID1C  U         30.3523         25.7272        173.6914         176.1235
 1100864     736051.9393051  -129.9885    45.9424    0.530
AS1D  U         36.2949         33.0739        107.3237         321.8971
AS2D  D         51.8391         48.0255        129.1400         145.6006
CC1D  U         51.1931         50.0804        124.9425          72.2955
EC1D  D         34.2300         44.3157        108.3337         713.8790
EC2D  D         26.1303         33.9037        178.2583         777.6073
EC3D  D         31.1094         49.4925        303.0284        1471.7328
 1119104     736061.1439858  -129.9892    45.9421    0.539
AS1E  U         34.4471         50.2561        721.8877        2055.3028
AS2E  D         44.0884         32.1510        671.1628         805.4386
CC1E  U          1.0000          1.0000          1.0000           1.0000
EC1E  D         40.9503         25.5738       1233.6650        6107.3983
EC2E  D         68.4528         33.6253       1059.0139        5091.0163
EC3E  D         74.4605         61.5725       1690.0224        8587.0614
ID1E  U         35.9423         30.2282        421.5270         451.0782
 1119063     736061.1389598  -129.9892    45.9422    0.547
AS1F  U         52.8049         36.9635        183.8516         580.2643
AS2F  D         36.7302         30.9520        176.3220         232.8383
CC1F  U         21.9978         34.3564        130.0671         104.8153
EC1F  D         37.4937         30.9288        315.5922        1601.9383
EC2F  D         34.6156         35.7445        306.3348        1505.0122
EC3F  D         31.6483         57.0323        469.2595        2588.2795
 1119098     736061.1430208  -129.9892    45.9423    0.530
AS1G  U        143.1701         97.9227       1172.3613        3270.0362
AS2G  D        144.4002         93.0015       1124.7033        1408.4882
CC1G  U         91.8763         85.2285        816.5106         420.9721
EC1G  D        107.5502        250.6447       1605.5856        8766.3952
EC2G  D         81.9242         79.7488       1670.2891        8065.2114
EC3G  D         86.9037        203.6301       2515.3860       14091.2952
ID1G  U          1.0000          1.0000          1.0000           1.0000
#
103   736034.8495951   -129.9893   45.9432   0.50
 1047568     736013.0838217  -129.9890    45.9431    0.480
AS1A  U         38.4829         28.4074        234.2170         680.2550
AS2A  D         31.1113         26.7566        143.3973         248.4646
CC1A  U         29.6362         56.5617        246.4624        1008.7697
EC1A  D         24.7158         32.8553        245.6417        2079.4817
EC2A  D         19.8417         20.9304        189.5673         808.3425
EC3A  D         28.6980         40.7955        317.9621        1429.0164
 1047601     736013.0943111  -129.9890    45.9429    0.511
AS1B  U         29.3079         27.8094         80.3366         323.5432
AS2B  D         32.9443         36.1359        119.1630         104.4601
CC1B  U         39.1510         53.8367         98.9819         281.6126
EC1B  D         32.7179         30.0100        124.6106         835.4570
EC2B  D         21.6882         28.7646        104.6410         478.9450
EC3B  D         36.3783         40.3081        133.8269         697.7579
 1059174     736027.0411533  -129.9902    45.9441    0.523
AS1C  U         27.4726         40.1672         62.2002         239.4843
AS2C  D         27.0287         26.2912         59.8782          83.9088
CC1C  U         27.3160         27.6780         88.7659         166.6394
EC1C  D         27.7847         24.7663        143.9390         804.1401
EC2C  D         27.9521         23.7367         91.5741         349.1941
EC3C  D         31.2670         50.7378         96.1390         415.8250
 1120047     736061.5003953  -129.9889    45.9430    0.501
AS1D  U         41.3014         43.1650        108.9836         443.0088
AS2D  D         45.3244         43.4106        142.0895         139.0714
CC1D  U         42.9915         22.5893        116.2336         185.5525
EC1D  D         29.2809         41.6569        140.2848        1041.0743
EC2D  D         24.5340         34.4353        150.2609         689.4961
EC3D  D         46.4661         57.6429        156.2105         883.7383
 1088206     736045.6939113  -129.9893    45.9429    0.482
AS1E  U         46.5522         68.3796        101.9278         300.5859
AS2E  D         54.3262         50.9708        112.1258         126.9830
EC1E  D         54.5318         84.4116        142.4905         751.6648
EC2E  D         37.9014         66.2243         89.8977         458.8692
EC3E  D        228.8387        897.5601        223.9770        1095.6714
ID1E  U         61.1392         55.4961        221.6861         263.1313
 1095097     736048.6839779  -129.9891    45.9431    0.487
AS1F  U         41.4868         67.0926        141.2601         405.3833
AS2F  D         25.3639         57.5071        164.7009         153.7987
CC1F  U         33.3381         40.8716        129.8933         209.8660
EC1F  D         45.3848         93.6179        158.8199        1107.5091
EC2F  D         40.3839         58.0280        164.9687         821.5053
EC3F  D         51.8516        118.4952        177.4670         881.2056
#
104   736034.4593254   -129.9894   45.9432   0.51
 1088328     736045.7057682  -129.9892    45.9428    0.487
AS1A  U        393.8220        559.5918       1385.4431        4237.1679
AS2A  D         99.6036        124.7098       1310.3878        1695.3485
CC1A  U         96.4273        136.1484        647.1236        1390.8410
EC1A  D        244.0136        540.0949       1818.0719       10006.2977
EC2A  D        208.2086        487.4170       1404.1924        5878.4336
EC3A  D        439.7835       1763.6491       3058.7582       18316.8727
 1041726     736005.2182186  -129.9893    45.9425    0.480
AS1B  U         38.6488         60.1127        118.4053         515.2625
AS2B  D         28.6094         29.5225        109.8444         155.5006
CC1B  U         63.0296         76.1349        126.0234         329.6748
EC1B  D         35.0707         58.5444        176.9204         792.5731
EC2B  D         47.1242         37.4646        139.6013         554.7178
EC3B  D         46.2141         64.3003        179.1278         895.8911
 1041687     736005.1884913  -129.9893    45.9430    0.515
AS1C  U         47.7518         44.4518        106.9897         276.8380
AS2C  D         36.8348         38.9481         86.4080         113.7075
CC1C  U         40.3036         47.6862         85.7156         225.2225
EC1C  D         41.8048         37.8546        137.8299         737.5571
EC2C  D         28.2816         39.8232        103.7731         424.0829
EC3C  D         45.1195         60.8028        120.3397         796.9211
 1124233     736064.0086795  -129.9891    45.9440    0.527
AS1D  U         42.7234         33.3749        153.3224         451.0433
AS2D  D         42.3204         32.9101         67.0280         156.4022
CC1D  U         30.5608         23.3819        160.5747         365.9523
EC1D  D         29.8347         27.2160        160.6479        1271.0261
EC2D  D         24.1623         22.4334        197.1110         621.4606
EC3D  D         34.9230         32.9368        233.4407        1227.7271
ID1D  U         30.8742         21.3219         81.8745          95.8573
 1047375     736013.0517372  -129.9897    45.9429    0.494
AS1E  U         24.1078         32.6699         59.6148         252.5041
AS2E  D         34.8884         38.5211         68.0851         105.4640
CC1E  U         27.6220         56.2826         68.7748         185.5096
EC1E  D         25.3824         24.7235        137.2167         561.1497
