#
 1087904     736045.6524809  -129.9878    45.9413    0.687
AS1F  U         88.6637         70.2291       1030.6746        4113.1584
AS2F  D        129.6464         95.6643        947.5013        1570.6588
CC1F  U          1.0000          1.0000          1.0000           1.0000
EC1F  D         93.3696         81.6196       1285.6233        6143.5462
EC2F  D         71.7122         67.8158       1099.3774        4731.5904
EC3F  D         68.2815         85.1172       3067.2025       19024.1775
ID1F  U         69.7389         76.4244        876.6744         855.9736
 1087914     736045.6537641  -129.9885    45.9416    0.509
AS1G  U        230.4890         84.2442        695.1134        2285.4006
AS2G  D         97.7276         58.7553        532.8160         785.7911
CC1G  U          1.0000          1.0000          1.0000           1.0000
EC1G  D        232.6114        427.7805       1130.9271        3906.5722
EC2G  D        149.1684        236.1118       1008.6083        2152.0951
EC3G  D        263.5692        409.6901       2143.3564       10345.3843
ID1G  U         82.5684        130.9494        427.4770         411.0106
#
103   736050.6433391   -129.9883   45.9416   0.53
 1087817     736045.6405486  -129.9882    45.9415    0.535
AS1A  U        106.1182        100.9474        531.2398        1926.6417
AS2A  D        150.1464         79.8817        483.0563         708.8871
CC1A  U        108.4635         92.8051        566.3056         209.1138
EC1A  D         86.0290         91.9121        486.0176        2969.1094
EC2A  D        196.9650         77.4604        923.8592        4610.5283
EC3A  D        155.1332        175.7223       1424.8530        8468.2530
ID1A  U         81.3831         54.9417        452.0651         513.6702
 1087926     736045.6551052  -129.9882    45.9415    0.540
AS1B  U         50.4199         52.6093        174.5346         611.8514
AS2B  D         52.7307         36.6707        140.7480         204.8305
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  D         40.8628         33.3941        199.0127         961.3705
EC2B  D         38.8129         43.4263        355.4231        1392.4444
EC3B  D         43.6277         82.9044        470.9380        2960.8169
ID1B  U         44.1968         37.6588        138.2253         161.2326
 1108728     736055.6388099  -129.9883    45.9417    0.523
AS1C  U         30.5918         44.1002        985.0470        4283.3159
AS2C  D         42.3579         32.4872        832.1478        1495.6291
CC1C  U          1.0000          1.0000          1.0000           1.0000
EC1C  D         47.9008         51.1830        762.0799        6548.0935
EC2C  D         31.7797         36.4431       1965.8473        9399.4732
EC3C  D         56.8599         62.4348       2623.3865       15857.6649
ID1C  U         36.2915         30.7419       1061.2829        1050.7537
 1108729     736055.6388926  -129.9884    45.9418    0.515
AS1D  U         94.2981         77.8234        628.7589        2782.9932
AS2D  D        135.9084         72.5403        598.4486        1021.8155
CC1D  U        118.8912        113.1022        890.4699         332.4485
EC1D  D         80.1528         71.5427        529.9422        4749.2953
EC2D  D         71.9130         56.9834       1250.2678        5722.7171
EC3D  D         80.8531        118.2986       1698.3883       10236.1453
ID1D  U         67.1096         54.5718        631.6163         616.1558
#
104   736035.9167403   -129.9895   45.9436   0.50
 1041740     736005.2211893  -129.9893    45.9424    0.495
AS1A  U         45.7977         48.0529        249.3051         811.0892
AS2A  D         38.9373         39.8747        226.1035         363.2844
CC1A  U         26.2681         57.8363        228.7034         552.9677
EC1A  D         36.1482         32.1062        339.2205        1784.2606
EC2A  D         37.3110         37.7065        193.6908        1018.8009
EC3A  D         33.0268         58.4703        460.5589        2719.2674
ID1A  U          1.0000          1.0000          1.0000           1.0000
 1076107     736038.9161000  -129.9899    45.9451    0.491
