#
AEC3  U         47.3958         47.3958         67.2565         266.9957
AID1  U         59.9046         59.9046         37.8539          59.0898
A05A  U         97.7523         97.7523         80.3097         968.2453
A08A  U         32.8196         32.8196        146.7069         214.4884
A10A  U         16.1916         16.1916         31.5605          43.6666
#
 11   738801.5485135   -129.9880   45.9530   1.60
 228000023     738801.5485135  -129.9880    45.9530    1.599
AAS1  D         43.3460         43.3460         42.4769          43.2805
AAS2  U         31.6248         31.6248         21.7730          33.3831
ACC1  U         67.7221         67.7221        221.1354         161.4053
AEC1  U         46.1102         46.1102         98.6093         315.6392
AEC2  U         88.2474         88.2474         96.6565         146.7988
AEC3  U         50.9915         50.9915         62.2696         292.2036
AID1  U         52.5804         52.5804         45.3778          61.3287
A07A  U         28.9443         28.9443         48.5465         106.8020
A08A  U         30.6264         30.6264        147.0955         216.4461
#
 12   738801.5707774   -129.9880   45.9540   1.54
 228000031     738801.5707774  -129.9880    45.9540    1.541
AAS1  U         41.8978         41.8978         27.5508          40.2131
AAS2  D         29.9575         29.9575         32.3835          39.8765
ACC1  U         59.8082         59.8082        448.2553         278.3038
AEC1  U         33.6691         33.6691        208.7032         759.0725
AEC2  U         74.9261         74.9261        175.9529         294.5681
AEC3  U         47.6842         47.6842        136.3105         453.0131
AID1  D         61.4760         61.4760         41.1582          59.1419
A05A  U        194.4159        194.4159        105.8390        2075.6089
A07A  U         30.2101         30.2101         87.3284         231.2144
A08A  U         32.4542         32.4542        322.6480         506.6931
A10A  U         14.4126         14.4126         61.2209         123.4550
#
 13   738801.5927296   -129.9880   45.9550   1.66
 228000040     738801.5927296  -129.9880    45.9550    1.656
AAS1  U         48.4586         48.4586         80.7463         117.6854
ACC1  U         73.9583         73.9583        540.1336         344.2662
AEC1  U         37.4826         37.4826        167.2318         927.1271
AEC2  U         76.1048         76.1048        245.4934         372.4714
AEC3  U         57.8055         57.8055        162.5759         633.7480
AID1  U         55.7816         55.7816         33.0381          75.6741
A05A  U        123.8653        123.8653        103.7337        2286.1478
A07A  U         34.6033         34.6033         70.9677         258.2146
A08A  U         28.9170         28.9170        328.7629         691.8125
A10A  U         16.4647         16.4647         77.7582         140.8026
#
 14   738801.6035903   -129.9880   45.9510   0.97
 228000044     738801.6035903  -129.9880    45.9510    0.966
AAS2  D         27.8498         27.8498         29.8806          41.4530
AEC1  D         37.5293         37.5293         45.6818         228.9699
AEC2  U         59.3756         59.3756         42.5297         129.2608
AEC3  D         42.1006         42.1006         37.1311         139.9499
AID1  U         52.5975         52.5975         38.7164          59.8986
A05A  D        129.2740        129.2740         62.5121         816.2829
A07A  D         37.1842         37.1842         24.3603          91.1326
A08A  D         39.6858         39.6858        118.1560         177.6027
