event_id,sta_code,p_polarity,sr_dist_km,takeoff,azimuth,takeoff_uncertainty,azimuth_uncertainty,source,sp_ratio,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km,event_mag,station_lat,station_lon,station_depth_km,pol_agreement,sp_diff,mech_quality,pol_agreement_weighted
40,OO.A06A.HHZ,1.0,3.764,94.3,340.7,8.5,-0.0,trad_p,,45.951,-129.998,1.37,0.3,0.2,1.0,45.98294,-130.01413,-0.0,1.0,,D,1.0
40,OO.A07A.HHZ,1.0,3.178,89.9,309.2,8.2,-0.0,trad_p,,45.951,-129.998,1.37,0.3,0.2,1.0,45.96907,-130.02985,-0.0,1.0,,D,1.0
40,OO.A08A.HHZ,1.0,1.546,65.6,341.0,7.0,-0.0,trad_p,,45.951,-129.998,1.37,0.3,0.2,1.0,45.96415,-130.0045,-0.0,1.0,,D,1.0
40,OO.A09A.HHZ,1.0,5.445,99.6,293.9,8.7,-0.0,trad_p,,45.951,-129.998,1.37,0.3,0.2,1.0,45.97084,-130.06239,-0.0,1.0,,D,1.0
40,OO.A10A.HHZ,1.0,3.854,95.0,74.4,8.6,-0.0,trad_p,,45.951,-129.998,1.37,0.3,0.2,1.0,45.96034,-129.94999,-0.0,1.0,,D,1.0
40,OO.A11A.HHZ,1.0,2.786,86.1,266.8,7.9,0.0,trad_p,,45.951,-129.998,1.37,0.3,0.2,1.0,45.94959,-130.03398,-0.0,1.0,,D,1.0
51,OO.AAS1.HHZ,-1.0,0.817,34.5,209.5,4.7,-0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.9336,-129.9992,-0.0,1.0,,D,1.0
51,OO.AAS2.HHZ,1.0,1.7,58.3,246.1,6.9,0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.9338,-130.0141,-0.0,1.0,,D,1.0
51,OO.ACC1.HHZ,1.0,2.0,65.2,324.8,7.5,0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.9547,-130.0089,-0.0,1.0,,D,1.0
51,OO.AEC1.HHZ,1.0,1.537,54.6,46.0,6.6,-0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.9496,-129.9797,-0.0,1.0,,D,1.0
51,OO.AEC2.HHZ,-1.0,1.562,55.2,91.2,6.7,0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.9397,-129.9738,-0.0,1.0,,D,1.0
51,OO.AEC3.HHZ,1.0,1.275,48.5,109.9,6.2,0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.9361,-129.9785,-0.0,0.0,,D,0.0
51,OO.AID1.HHZ,1.0,2.015,65.4,142.1,7.5,-0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.9257,-129.978,-0.0,0.0,,D,0.0
51,OO.A05A.HHZ,1.0,4.02,82.6,18.0,8.3,-0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.97439,-129.97797,-0.0,1.0,,D,1.0
51,OO.A06A.HHZ,-1.0,5.022,85.2,341.9,8.1,-0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.98294,-130.01413,-0.0,0.0,,D,0.0
51,OO.A07A.HHZ,-1.0,4.259,83.2,319.4,8.2,-0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.96907,-130.02985,-0.0,0.0,,D,0.0
51,OO.A08A.HHZ,1.0,2.806,74.1,343.2,7.8,-0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.96415,-130.0045,-0.0,1.0,,D,1.0
51,OO.A09A.HHZ,1.0,6.303,85.9,303.0,9.5,-0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.97084,-130.06239,-0.0,0.0,,D,0.0
51,OO.A10A.HHZ,1.0,4.086,82.7,56.4,8.3,-0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.96034,-129.94999,-0.0,1.0,,D,1.0
51,OO.A11A.HHZ,-1.0,3.27,77.9,289.0,8.0,0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.94959,-130.03398,-0.0,1.0,,D,1.0
51,OO.A12A.HHZ,-1.0,3.48,79.2,218.1,8.0,-0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.91537,-130.02177,-0.0,0.0,,D,0.0
51,OO.A13A.HHZ,-1.0,3.977,82.4,154.1,8.3,0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.90782,-129.97155,-0.0,0.0,,D,0.0
51,OO.A14A.HHZ,-1.0,4.573,84.0,193.3,8.2,-0.0,trad_p,,45.94,-129.994,1.66,0.3,0.2,1.0,45.89997,-130.00757,-0.0,0.0,,D,0.0
54,OO.AAS2.HHZ,-1.0,1.949,60.8,225.9,7.6,-0.0,trad_p,,45.946,-129.996,1.74,0.3,0.2,1.0,45.9338,-130.0141,-0.0,1.0,,D,1.0
54,OO.ACC1.HHZ,1.0,1.39,48.3,314.1,6.7,0.0,trad_p,,45.946,-129.996,1.74,0.3,0.2,1.0,45.9547,-130.0089,-0.0,1.0,,D,1.0
54,OO.AEC1.HHZ,1.0,1.322,46.8,72.4,6.6,-0.0,trad_p,,45.946,-129.996,1.74,0.3,0.2,1.0,45.9496,-129.9797,-0.0,1.0,,D,1.0
54,OO.AEC2.HHZ,1.0,1.854,58.7,112.2,7.4,-0.0,trad_p,,45.946,-129.996,1.74,0.3,0.2,1.0,45.9397,-129.9738,-0.0,1.0,,D,1.0
54,OO.AEC3.HHZ,1.0,1.744,56.2,129.1,7.3,0.0,trad_p,,45.946,-129.996,1.74,0.3,0.2,1.0,45.9361,-129.9785,-0.0,0.0,,D,0.0
54,OO.AID1.HHZ,-1.0,2.652,69.0,148.3,7.9,0.0,trad_p,,45.946,-129.996,1.74,0.3,0.2,1.0,45.9257,-129.978,-0.0,1.0,,D,1.0
54,OO.A06A.HHZ,1.0,4.34,79.6,341.2,8.4,-0.0,trad_p,,45.946,-129.996,1.74,0.3,0.2,1.0,45.98294,-130.01413,-0.0,1.0,,D,1.0
54,OO.A07A.HHZ,-1.0,3.665,76.8,314.4,8.2,-0.0,trad_p,,45.946,-129.996,1.74,0.3,0.2,1.0,45.96907,-130.02985,-0.0,0.0,,D,0.0
54,OO.A08A.HHZ,1.0,2.123,63.3,342.0,7.7,0.0,trad_p,,45.946,-129.996,1.74,0.3,0.2,1.0,45.96415,-130.0045,-0.0,1.0,,D,1.0
54,OO.A09A.HHZ,-1.0,5.829,81.8,298.3,10.9,-0.0,trad_p,,45.946,-129.996,1.74,0.3,0.2,1.0,45.97084,-130.06239,-0.0,0.0,,D,0.0
54,OO.A10A.HHZ,-1.0,3.899,78.2,65.9,8.3,-0.0,trad_p,,45.946,-129.996,1.74,0.3,0.2,1.0,45.96034,-129.94999,-0.0,1.0,,D,1.0
54,OO.A11A.HHZ,1.0,2.964,72.4,277.7,8.0,0.0,trad_p,,45.946,-129.996,1.74,0.3,0.2,1.0,45.94959,-130.03398,-0.0,0.0,,D,0.0
54,OO.A12A.HHZ,1.0,3.946,78.4,210.3,8.3,0.0,trad_p,,45.946,-129.996,1.74,0.3,0.2,1.0,45.91537,-130.02177,-0.0,0.0,,D,0.0
54,OO.A13A.HHZ,-1.0,4.648,80.4,156.0,8.6,-0.0,trad_p,,45.946,-129.996,1.74,0.3,0.2,1.0,45.90782,-129.97155,-0.0,1.0,,D,1.0
54,OO.A14A.HHZ,1.0,5.196,81.4,189.9,9.0,-0.0,trad_p,,45.946,-129.996,1.74,0.3,0.2,1.0,45.89997,-130.00757,-0.0,0.0,,D,0.0
79,OO.AAS1.HHZ,1.0,1.264,48.0,214.2,6.0,0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.9336,-129.9992,-0.0,1.0,,B,1.0
79,OO.AAS2.HHZ,1.0,2.126,66.2,241.2,6.6,-0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.9338,-130.0141,-0.0,1.0,,B,1.0
79,OO.ACC1.HHZ,1.0,1.957,63.8,311.7,6.6,0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.9547,-130.0089,-0.0,1.0,,B,1.0
79,OO.AEC1.HHZ,1.0,1.083,43.8,47.3,5.8,0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.9496,-129.9797,-0.0,0.0,,B,0.0
79,OO.AEC2.HHZ,-1.0,1.305,48.9,106.3,6.0,-0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.9397,-129.9738,-0.0,1.0,,B,1.0
79,OO.AEC3.HHZ,-1.0,1.175,45.9,130.8,5.9,-0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.9361,-129.9785,-0.0,1.0,,B,1.0
79,OO.AID1.HHZ,-1.0,2.136,66.3,154.3,6.7,-0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.9257,-129.978,-0.0,1.0,,B,1.0
79,OO.A03A.HHZ,-1.0,5.555,85.1,357.8,8.8,-0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.99292,-129.99278,-0.0,1.0,,B,1.0
79,OO.A04A.HHZ,-1.0,6.801,85.5,318.4,11.4,-0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.98874,-130.04839,-0.0,0.0,,B,0.0
79,OO.A05A.HHZ,-1.0,3.612,79.6,14.9,7.4,-0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.97439,-129.97797,-0.0,0.0,,B,0.0
79,OO.A06A.HHZ,-1.0,4.817,84.2,337.2,7.4,0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.98294,-130.01413,-0.0,1.0,,B,1.0
79,OO.A07A.HHZ,1.0,4.231,82.7,313.3,7.5,-0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.96907,-130.02985,-0.0,1.0,,B,1.0
79,OO.A08A.HHZ,1.0,2.605,71.5,334.5,6.9,-0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.96415,-130.0045,-0.0,1.0,,B,1.0
79,OO.A09A.HHZ,1.0,6.397,85.4,298.9,11.2,-0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.97084,-130.06239,-0.0,1.0,,B,1.0
79,OO.A10A.HHZ,1.0,3.645,79.8,58.1,7.4,-0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.96034,-129.94999,-0.0,1.0,,B,1.0
79,OO.A12A.HHZ,1.0,3.934,81.6,218.6,7.6,0.0,trad_p,,45.943,-129.99,1.67,0.3,0.2,1.0,45.91537,-130.02177,-0.0,1.0,,B,1.0
99,OO.AAS1.HHZ,-1.0,1.867,55.0,192.4,5.9,-0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.9336,-129.9992,-0.0,1.0,,B,1.0
99,OO.AAS2.HHZ,1.0,2.379,61.9,220.8,6.2,-0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.9338,-130.0141,-0.0,0.0,,B,0.0
99,OO.ACC1.HHZ,1.0,1.265,42.0,294.4,5.4,0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.9547,-130.0089,-0.0,1.0,,B,1.0
99,OO.AEC1.HHZ,1.0,1.107,38.6,92.3,5.3,-0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.9496,-129.9797,-0.0,1.0,,B,1.0
99,OO.AEC2.HHZ,1.0,1.937,56.5,126.3,6.0,0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.9397,-129.9738,-0.0,1.0,,B,1.0
99,OO.AEC3.HHZ,1.0,1.956,56.9,142.2,6.0,-0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.9361,-129.9785,-0.0,1.0,,B,1.0
99,OO.AID1.HHZ,-1.0,2.972,68.3,155.4,6.5,-0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.9257,-129.978,-0.0,1.0,,B,1.0
99,OO.A02A.HHZ,1.0,6.038,77.0,338.8,11.9,-0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,46.00062,-130.02226,-0.0,0.0,,B,0.0
99,OO.A03A.HHZ,-1.0,4.774,75.9,1.1,6.9,-0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.99292,-129.99278,-0.0,1.0,,B,1.0
99,OO.A04A.HHZ,1.0,6.02,77.0,315.7,11.8,-0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.98874,-130.04839,-0.0,1.0,,B,1.0
99,OO.A05A.HHZ,-1.0,2.982,68.4,24.6,6.5,-0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.97439,-129.97797,-0.0,1.0,,B,1.0
99,OO.A06A.HHZ,-1.0,3.98,74.0,337.0,7.0,-0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.98294,-130.01413,-0.0,1.0,,B,1.0
99,OO.A07A.HHZ,1.0,3.49,71.3,307.4,6.7,-0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.96907,-130.02985,-0.0,1.0,,B,1.0
99,OO.A08A.HHZ,1.0,1.771,52.9,332.7,5.8,0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.96415,-130.0045,-0.0,1.0,,B,1.0
99,OO.A09A.HHZ,-1.0,5.773,76.9,293.7,10.1,-0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.97084,-130.06239,-0.0,0.0,,B,0.0
99,OO.A10A.HHZ,1.0,3.592,71.8,71.3,6.7,-0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.96034,-129.94999,-0.0,1.0,,B,1.0
99,OO.A12A.HHZ,-1.0,4.409,75.0,209.1,6.9,-0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.91537,-130.02177,-0.0,1.0,,B,1.0
99,OO.A13A.HHZ,-1.0,5.001,76.4,159.7,7.0,-0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.90782,-129.97155,-0.0,1.0,,B,1.0
99,OO.A14A.HHZ,-1.0,5.661,76.8,190.7,9.4,0.0,trad_p,,45.95,-129.994,1.84,0.3,0.2,1.0,45.89997,-130.00757,-0.0,1.0,,B,1.0
100,OO.AAS1.HHZ,-1.0,2.413,64.4,189.6,7.4,0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.9336,-129.9992,-0.0,1.0,,B,1.0
100,OO.AAS2.HHZ,1.0,2.823,68.8,213.4,7.4,-0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.9338,-130.0141,-0.0,0.0,,B,0.0
100,OO.ACC1.HHZ,1.0,1.152,41.3,268.3,5.8,-0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.9547,-130.0089,-0.0,1.0,,B,1.0
100,OO.AEC1.HHZ,-1.0,1.258,43.6,118.5,6.0,-0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.9496,-129.9797,-0.0,0.0,,B,0.0
100,OO.AEC2.HHZ,1.0,2.309,63.2,137.5,7.5,0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.9397,-129.9738,-0.0,1.0,,B,1.0
100,OO.AEC3.HHZ,1.0,2.419,64.4,150.3,7.4,-0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.9361,-129.9785,-0.0,1.0,,B,1.0
100,OO.AID1.HHZ,-1.0,3.485,73.5,159.2,7.1,0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.9257,-129.978,-0.0,1.0,,B,1.0
100,OO.A03A.HHZ,1.0,4.218,77.0,1.3,6.7,-0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.99292,-129.99278,-0.0,0.0,,B,0.0
100,OO.A04A.HHZ,1.0,5.635,79.2,311.7,8.8,-0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.98874,-130.04839,-0.0,1.0,,B,1.0
100,OO.A05A.HHZ,-1.0,2.487,65.2,29.9,7.4,-0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.97439,-129.97797,-0.0,1.0,,B,1.0
100,OO.A06A.HHZ,-1.0,3.475,73.4,333.4,7.1,0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.98294,-130.01413,-0.0,1.0,,B,1.0
100,OO.A07A.HHZ,1.0,3.183,71.7,299.4,7.3,0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.96907,-130.02985,-0.0,1.0,,B,1.0
100,OO.A08A.HHZ,1.0,1.302,44.6,321.4,6.1,-0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.96415,-130.0045,-0.0,1.0,,B,1.0
100,OO.A09A.HHZ,1.0,5.573,79.2,288.4,8.5,-0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.97084,-130.06239,-0.0,1.0,,B,1.0
100,OO.A10A.HHZ,1.0,3.454,73.3,80.1,7.1,-0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.96034,-129.94999,-0.0,1.0,,B,1.0
100,OO.A12A.HHZ,-1.0,4.902,78.6,206.0,6.6,-0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.91537,-130.02177,-0.0,1.0,,B,1.0
100,OO.A14A.HHZ,-1.0,6.209,79.5,189.7,11.0,-0.0,trad_p,,45.955,-129.994,1.79,0.3,0.2,1.0,45.89997,-130.00757,-0.0,1.0,,B,1.0
104,OO.AAS2.HHZ,1.0,2.823,64.2,213.4,6.6,-0.0,trad_p,,45.955,-129.994,1.9,0.3,0.2,1.0,45.9338,-130.0141,-0.0,1.0,,D,1.0
104,OO.ACC1.HHZ,1.0,1.152,37.5,268.3,5.1,-0.0,trad_p,,45.955,-129.994,1.9,0.3,0.2,1.0,45.9547,-130.0089,-0.0,1.0,,D,1.0
104,OO.AEC1.HHZ,-1.0,1.258,39.7,118.5,5.3,-0.0,trad_p,,45.955,-129.994,1.9,0.3,0.2,1.0,45.9496,-129.9797,-0.0,1.0,,D,1.0
104,OO.AEC2.HHZ,1.0,2.309,58.7,137.5,6.6,0.0,trad_p,,45.955,-129.994,1.9,0.3,0.2,1.0,45.9397,-129.9738,-0.0,0.0,,D,0.0
104,OO.AEC3.HHZ,1.0,2.419,59.9,150.3,6.6,-0.0,trad_p,,45.955,-129.994,1.9,0.3,0.2,1.0,45.9361,-129.9785,-0.0,0.0,,D,0.0
104,OO.AID1.HHZ,-1.0,3.485,68.6,159.2,6.4,0.0,trad_p,,45.955,-129.994,1.9,0.3,0.2,1.0,45.9257,-129.978,-0.0,1.0,,D,1.0
104,OO.A04A.HHZ,1.0,5.635,73.9,311.7,9.1,-0.0,trad_p,,45.955,-129.994,1.9,0.3,0.2,1.0,45.98874,-130.04839,-0.0,1.0,,D,1.0
104,OO.A05A.HHZ,1.0,2.487,60.6,29.9,6.6,-0.0,trad_p,,45.955,-129.994,1.9,0.3,0.2,1.0,45.97439,-129.97797,-0.0,0.0,,D,0.0
104,OO.A07A.HHZ,1.0,3.183,67.0,299.4,6.5,0.0,trad_p,,45.955,-129.994,1.9,0.3,0.2,1.0,45.96907,-130.02985,-0.0,1.0,,D,1.0
104,OO.A08A.HHZ,1.0,1.302,40.7,321.4,5.4,-0.0,trad_p,,45.955,-129.994,1.9,0.3,0.2,1.0,45.96415,-130.0045,-0.0,1.0,,D,1.0
104,OO.A09A.HHZ,1.0,5.573,73.8,288.4,8.8,-0.0,trad_p,,45.955,-129.994,1.9,0.3,0.2,1.0,45.97084,-130.06239,-0.0,1.0,,D,1.0
104,OO.A10A.HHZ,1.0,3.454,68.4,80.1,6.4,-0.0,trad_p,,45.955,-129.994,1.9,0.3,0.2,1.0,45.96034,-129.94999,-0.0,0.0,,D,0.0
104,OO.A11A.HHZ,1.0,3.149,66.8,259.0,6.5,-0.0,trad_p,,45.955,-129.994,1.9,0.3,0.2,1.0,45.94959,-130.03398,-0.0,1.0,,D,1.0
