event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
1383,141.1,33.3,41.4,D,46.4,28.5,35,35,19.1,33.3,73.6,-42.5,False,2015-03-20 06:40:47,1.0,45.949,-129.997,0.1,0.3,0.2
1385,96.9,47.6,-132.1,B,17.4,13.0,32,29,17.4,96.6,52.4,-74.9,False,2015-04-01 14:39:55,1.0,45.955,-130.034,1.0,0.3,0.2
1386,138.3,49.1,-157.2,B,31.6,29.6,32,24,11.2,72.4,50.0,-84.5,False,2015-03-16 22:29:01,1.0,45.937,-129.979,1.6,0.3,0.2
1387,275.2,78.3,168.2,B,30.9,25.6,34,32,0.0,73.0,49.4,-78.9,False,2015-03-24 04:34:30,1.0,45.945,-129.984,1.5,0.3,0.2
1388,252.7,49.2,-93.3,B,23.3,22.5,32,32,14.3,96.6,41.0,-79.1,False,2015-03-03 17:56:44,1.0,45.941,-129.986,1.4,0.3,0.2
1389,77.3,2.0,-40.6,A,23.5,16.4,33,33,0.0,96.7,74.9,-18.6,False,2015-03-21 12:54:15,1.0,45.949,-129.995,0.3,0.3,0.2
139,17.1,37.3,-171.4,B,33.0,34.8,43,32,19.5,84.6,57.4,-60.0,False,2015-04-06 01:32:26,1.0,45.941667,-130.014833,0.56,0.3,0.2
1390,255.5,49.2,-77.3,C,18.5,19.1,34,33,20.3,93.6,46.9,-83.5,False,2015-03-02 08:48:50,1.0,45.946,-129.984,1.6,0.3,0.2
1391,132.8,20.7,-38.9,B,13.0,12.6,34,30,0.0,100.0,45.0,-85.1,False,2015-03-28 01:49:31,1.0,45.938,-129.979,1.4,0.3,0.2
1392,336.8,70.9,132.5,D,26.9,15.7,32,31,31.0,98.2,75.0,-24.1,False,2015-03-30 13:15:14,1.0,45.948,-129.994,0.4,0.3,0.2
