#
EC1A  U         37.3344         37.3344         49.7594          44.5203
EC2A  U         68.8158         68.8158         29.6698          84.3021
EC3A  D         68.9049         68.9049         29.9096          65.1439
ID1A  U         54.1372         54.1372         26.3487          55.9852
01AA  D         14.8772         14.8772         26.4461          39.1682
02AA  U         83.9470         83.9470        190.5234        1355.9909
03AA  U         47.9548         47.9548        107.0538        1835.8218
04AA  D         39.5575         39.5575         91.1775         277.8879
#
 11   738804.0743843   -130.0010   45.9480   0.59
 228300015     738804.0743843  -130.0010    45.9480    0.590
AS1A  U         42.8806         42.8806         50.3510          55.7912
EC2A  U         77.7506         77.7506         51.1460         112.4148
EC3A  U         56.5293         56.5293         36.4432          71.8788
ID1A  D         60.0371         60.0371         50.6307          61.1199
01AA  U         50.1099         50.1099        101.3511         640.6415
02AA  U        190.8616        190.8616       1411.1749       10668.0974
03AA  U        112.6151        112.6151        553.6019        2011.8930
04AA  U         53.3699         53.3699        399.9145        1261.6140
09AA  D         75.0970         75.0970         28.4730         359.5662
#
 12   738805.1095241   -129.9830   45.9380   1.88
 228400014     738805.1095241  -129.9830    45.9380    1.880
AS1A  U        217.0912        217.0912        280.0328         836.2995
AS2A  U         59.7947         59.7947         56.7229         140.0227
CC1A  U         95.4499         95.4499        193.2818         437.2310
EC1A  U        148.0414        148.0414        203.2012         816.2999
EC2A  D        278.6644        278.6644        235.6536         829.7452
EC3A  D        592.3121        592.3121        518.9281        2239.5202
ID1A  U         81.4039         81.4039        114.4047         312.3990
08AA  U         71.8930         71.8930        117.0754         525.1826
10AA  U         21.6202         21.6202         58.3574         161.7872
13AA  U         73.8008         73.8008         83.0599         401.1371
#
 13   738806.4818780   -130.0020   45.9420   0.84
 228500023     738806.4818780  -130.0020    45.9420    0.840
AS2A  D         42.8627         42.8627         31.1329          41.0520
CC1A  D         71.2350         71.2350         44.7403          79.7672
EC1A  D         34.1579         34.1579         44.3806         158.2095
EC2A  U         79.4671         79.4671         21.4555          62.0271
EC3A  D         64.1747         64.1747        188.4515         342.8124
ID1A  D         56.6727         56.6727        490.0226         410.0565
03AA  U         65.7831         65.7831         38.0079         377.6319
11AA  U         73.4902         73.4902         57.8421         365.7532
14AA  D         36.8239         36.8239         84.7824          42.4064
#
 14   738808.2670851   -129.9950   45.9310   2.24
 228700029     738808.2670851  -129.9950    45.9310    2.240
AS1A  U         73.8893         73.8893        673.2673        1214.2957
AS2A  U         62.1709         62.1709        455.3047         533.3773
CC1A  U        106.7921        106.7921        134.0914         310.5343
EC2A  U         96.0061         96.0061        686.9641        1685.3191
EC3A  U        116.9577        116.9577       1445.7921        4729.1439
ID1A  U        113.5021        113.5021       1958.6526        1491.7734
05AA  D        582.0417        582.0417        323.0250        1723.2978
07AA  D         76.5054         76.5054         71.9803         254.9602
08AA  D         88.0969         88.0969         82.9552         367.8343
11AA  U        199.1902        199.1902        147.2035        2854.1980
12AA  U         15.8225         15.8225        193.6594         284.9248
13AA  D        155.6064        155.6064        408.2632        1539.0056
14AA  U         54.2553         54.2553        389.7898         283.1416
#
 15   738808.9831454   -129.9650   46.0210   0.66
 228700223     738808.9831454  -129.9650    46.0210    0.660
AS1A  U         38.0010         38.0010         35.5027          41.3617
AS2A  U         35.8245         35.8245         26.3334          55.5273
CC1A  U         69.5487         69.5487         79.7564         201.1967
EC2A  U         71.2473         71.2473         89.8751         127.7529
EC3A  U         53.9011         53.9011        112.8527         161.9301
ID1A  D         49.1051         49.1051         37.3743          62.4039
03AA  U        686.9410        686.9410        153.4605        1151.8181
04AA  U         45.7773         45.7773         85.5488         108.6198
07AA  D         38.5538         38.5538         62.2643          97.3925
10AA  U         14.4551         14.4551         44.8213          38.1486
13AA  U         61.1347         61.1347        156.7822         159.2074
#
 16   738809.1578947   -130.0320   46.0140   2.00
 228800473     738809.1578947  -130.0320    46.0140    2.000
AS1A  D         62.5463         62.5463         40.5000          69.1645
AS2A  D         53.4613         53.4613         68.4683          74.0565
CC1A  D        111.9839        111.9839         37.2666         138.7288
EC1A  D         63.8270         63.8270         42.5354          50.7445
EC2A  D         70.8612         70.8612         47.1854          83.6620
EC3A  U         69.1870         69.1870         55.1807          90.9066
01AA  U         40.4843         40.4843        190.4571         518.8886
02AA  D        249.0192        249.0192        968.6172        5358.9717
03AA  U         86.7821         86.7821        196.9482         256.8709
04AA  D        191.7754        191.7754        198.8063         947.5243
09AA  U        135.4889        135.4889         17.3534         257.4360
#
 17   738811.0384318   -130.0010   45.9460   2.33
 229000014     738811.0384318  -130.0010    45.9460    2.330
AS1A  U         60.1210         60.1210        309.1697         200.3961
AS2A  D         34.7178         34.7178         22.5388          41.8762
CC1A  U         71.6191         71.6191         40.5583          76.1306
EC1A  D         35.5830         35.5830        130.9762         278.9764
EC2A  D         86.6213         86.6213        334.9746         269.9245
EC3A  D         56.0967         56.0967        637.9577        2201.2390
10AA  U         16.7321         16.7321         26.5554          68.0704
12AA  U         11.7107         11.7107          8.3567          41.1383
14AA  D         25.2719         25.2719         27.6056          31.1567
#
 18   738811.4802278   -129.9870   45.9340   2.41
 229000079     738811.4802278  -129.9870    45.9340    2.410
AS1A  U         48.2813         48.2813       1234.7941        1169.1187
AS2A  U         56.3973         56.3973        165.8964         207.8438
CC1A  U         81.5788         81.5788         84.5783         327.9198
EC1A  U         42.4424         42.4424        446.5249        1333.1576
EC2A  D         71.3657         71.3657       1010.9663        2986.1833
EC3A  D         57.3610         57.3610       2412.2492        4807.3701
ID1A  D         51.0181         51.0181        255.6254         474.8174
05AA  D        117.2364        117.2364         46.7412        1323.9806
10AA  U         15.3328         15.3328        142.6006         200.3247
12AA  U         13.1924         13.1924         37.6148         187.5153
14AA  U         27.7007         27.7007         75.8884          88.4259
#
 19   738813.0138065   -130.0440   45.9870   1.51
 229200001     738813.0138065  -130.0440    45.9870    1.510
AS1A  D         59.0286         59.0286         40.3098          67.2504
AS2A  D         37.4265         37.4265         37.7748          35.7137
EC2A  D         71.8527         71.8527         29.1920          67.4399
EC3A  D         59.8592         59.8592         51.7198          73.7870
ID1A  U         56.7140         56.7140         35.2363          69.4168
02AA  D         94.9553         94.9553        171.5871        1077.1338
03AA  D        408.3607        408.3607        116.1984        1027.9751
04AA  D         59.2593         59.2593        354.8807        1399.4211
06AA  U         59.3233         59.3233        121.6384         321.5271
07AA  U         58.9870         58.9870        143.6529         392.2947
09AA  U         71.3716         71.3716         26.6639         304.6015
#
 20   738817.0111718   -129.9920   45.9250   2.32
 229600000     738817.0111718  -129.9920    45.9250    2.320
AS1A  U         37.2550         37.2550        318.3808         316.1997
AS2A  U         48.7967         48.7967        106.7546         157.6434
EC1A  U         44.1522         44.1522         65.2500         408.6145
EC2A  D         62.4235         62.4235        105.6417         282.7011
EC3A  D         60.9060         60.9060        237.6095         503.7888
ID1A  D         53.6875         53.6875        205.4031         427.9481
05AA  D        189.9660        189.9660         54.6949        1170.3145
12AA  U         13.6666         13.6666         25.5782         121.3141
13AA  U        121.1657        121.1657        483.3850         693.5445
14AA  D         28.4144         28.4144        122.0899          46.5743
#
 21   738817.2134253   -130.0030   45.9150   0.71
 229600006     738817.2134253  -130.0030    45.9150    0.710
AS1A  U         66.9313         66.9313         36.1572          42.9708
AS2A  D         39.6522         39.6522         35.2907          38.5773
CC1A  U         98.4757         98.4757        170.0195         376.6011
EC2A  U         70.9686         70.9686         33.7269          90.5290
EC3A  D         69.7073         69.7073         33.6107         180.9324
ID1A  D         71.3683         71.3683         57.1803          56.1095
07AA  U         46.7163         46.7163         72.8454         353.5834
08AA  U         26.1973         26.1973        350.5003           8.8545
10AA  U         14.4131         14.4131         26.7353          95.5492
11AA  D        186.9762        186.9762         49.7557        2200.5229
#
 22   738817.3968148   -129.9900   45.9250   2.21
 229600030     738817.3968148  -129.9900    45.9250    2.210
AS1A  U         64.9625         64.9625        622.2705         563.5974
AS2A  U         43.6624         43.6624        169.6953         294.6098
CC1A  D        104.2671        104.2671         40.2643         231.6597
EC1A  U         52.1096         52.1096        272.1679         984.8675
EC2A  U         75.4347         75.4347        418.0922         624.3376
EC3A  U         80.7296         80.7296        588.8266        2406.0848
ID1A  D         70.5357         70.5357        676.8944        1033.3521
05AA  U        118.9592        118.9592         82.9837        1836.4180
07AA  U         49.1318         49.1318         31.2436         179.4456
08AA  D         22.2273         22.2273         65.5543           6.6204
10AA  U         18.2643         18.2643         33.5249          88.6549
12AA  U         13.1949         13.1949         89.8932         158.4411
14AA  U         28.9107         28.9107        256.7917         152.5712
#
 23   738818.2240381   -130.0130   45.9380   2.40
 229700029     738818.2240381  -130.0130    45.9380    2.400
AS1A  U         55.3387         55.3387         42.1395          58.6384
AS2A  D         30.6920         30.6920         29.0086          49.1957
CC1A  D         79.2656         79.2656         32.8766          90.3224
EC2A  D         73.3991         73.3991         39.2622          95.0492
EC3A  U         50.4816         50.4816         21.8466          53.7899
ID1A  D         49.5505         49.5505         41.6249          56.6251
02AA  D         77.3547         77.3547        374.6389        1611.5363
03AA  U         44.4904         44.4904        279.0092         234.7591
04AA  U         37.7845         37.7845        249.5065        1197.5411
05AA  U         67.9761         67.9761         63.6394         568.5530
