#
EC1D  D         39.8586         33.6405       1040.2528        3012.4756
EC2D  U         28.2563         29.5544        286.1110        1269.1770
EC3D  U         40.4847         46.7473        501.5819        2202.7784
 1089037     736046.1262705  -129.9924    45.9471    0.434
AS1E  U         50.0607         46.4065        220.8450         415.5670
AS2E  D         37.9337         35.0710        333.3193         327.4642
CC1E  U         46.3062         53.1552        735.0078        1178.1187
EC1E  D         37.2040         54.9592        980.0489        3052.8015
EC2E  U         35.5273         44.5324        268.2056        1182.6927
EC3E  U         56.7391         75.9999        471.5558        1891.1071
 1101825     736052.7572315  -129.9924    45.9471    0.435
AS1F  U         38.3885         40.7876        220.9049         411.9328
AS2F  D         38.0858         35.3212        312.5910         333.7756
CC1F  U         37.3093         38.0752        772.7234        1164.6442
EC1F  D         39.2370         53.3733       1015.1345        3019.6922
EC2F  U         23.2870         29.9090        307.1633        1156.0417
EC3F  U         59.9011         55.3798        526.6999        2284.4585
#
103   736054.2000247   -130.0199   45.9419   0.91
 1057859     736025.5527241  -130.0196    45.9420    0.882
AS1A  U         44.9264         50.8292        423.8722         856.6706
AS2A  D         36.6594         34.5833        950.8348        1252.9422
CC1A  U         39.9585         54.2124        350.8611         586.4643
EC1A  U         35.7913         37.8960        292.7018         788.5657
EC2A  U         27.5866         37.0321        210.8293         836.7699
ID1A  U         61.9754         41.5162        197.3026         242.5052
 1082638     736042.8552511  -130.0203    45.9418    0.938
AS1B  U         29.0523         37.0143        457.5126         833.8860
AS2B  D         31.3977         25.0603        992.3552        1350.2038
CC1B  U         23.3881         36.8297        324.8987         612.0023
EC1B  U         19.8602         33.3932        333.8115         821.5484
EC2B  U         33.3824         24.8876        189.4734         957.5916
ID1B  U         31.4104         26.4202        203.0553         223.2856
 1126928     736066.0715187  -130.0199    45.9419    0.899
AS1C  U         45.0378         41.4414        532.9178        1015.8090
AS2C  D         36.1192         44.2278       1182.8990        1649.8092
CC1C  U         52.3892         51.8253        470.3401         966.8205
EC1C  U         41.0465         40.4140        400.0578         973.1817
EC2C  U         37.6254         36.2572        260.7087        1109.0372
