# Depth (km), Vp (km/s)
0.00, 1.9973
0.05, 2.1366
0.10, 2.2940
0.15, 2.5773
0.20, 2.8799
0.25, 3.1670
0.30, 3.4513
0.35, 3.6482
0.40, 3.8262
0.45, 3.9979
0.50, 4.1679
0.55, 4.3512
0.60, 4.5384
0.65, 4.7087
0.70, 4.8734
0.75, 5.0143
0.80, 5.1466
0.85, 5.2600
0.90, 5.3657
0.95, 5.4637
1.00, 5.5581
1.05, 5.6437
1.10, 5.7250
1.15, 5.7794
1.20, 5.8192
1.25, 5.8280
1.30, 5.8180
1.35, 5.8083
1.40, 5.7987
1.45, 5.8174
1.50, 5.8568
1.55, 5.9051
1.60, 5.9606
1.65, 5.9995
1.70, 6.0239
1.75, 6.0324
1.80, 6.0257
1.85, 6.0039
1.90, 5.9665
1.95, 5.9097
2.00, 5.8309
2.05, 5.7562
2.10, 5.6867
2.15, 5.6522
2.20, 5.6657
2.25, 5.6684
2.30, 5.6549
2.35, 5.6489
2.40, 5.6553
2.45, 5.6549
2.50, 5.6425
2.55, 5.6318
2.60, 5.6242
2.65, 5.6209
2.70, 5.6267
2.75, 5.6320
2.80, 5.6356
2.85, 5.6440
2.90, 5.6653
2.95, 5.6847
3.00, 5.6981
3.05, 5.7105
3.10, 5.7194
3.15, 5.7273
3.20, 5.7311
3.25, 5.7360
3.30, 5.7452
3.35, 5.7558
3.40, 5.7737
3.45, 5.7914
3.50, 5.8070
3.55, 5.8234
3.60, 5.8453
3.65, 5.8658
3.70, 5.8712
3.75, 5.8772
3.80, 5.8918
3.85, 5.9066
3.90, 5.9228
3.95, 5.9390
4.00, 5.9535
40.00, 8.2000
