# Depth (km), Vp (km/s)
0.00, 1.9782
0.05, 2.1017
0.10, 2.2414
0.15, 2.4660
0.20, 2.7037
0.25, 2.9510
0.30, 3.2001
0.35, 3.4305
0.40, 3.6568
0.45, 3.8578
0.50, 4.0524
0.55, 4.2208
0.60, 4.3818
0.65, 4.5139
0.70, 4.6367
0.75, 4.7331
0.80, 4.8197
0.85, 4.8958
0.90, 4.9675
0.95, 5.0451
1.00, 5.1253
1.05, 5.2171
1.10, 5.3147
1.15, 5.4150
1.20, 5.5168
1.25, 5.6116
1.30, 5.7020
1.35, 5.7807
1.40, 5.8514
1.45, 5.9100
1.50, 5.9598
1.55, 6.0083
1.60, 6.0557
1.65, 6.0967
1.70, 6.1321
1.75, 6.1597
1.80, 6.1798
1.85, 6.1645
1.90, 6.1123
1.95, 6.0256
2.00, 5.8996
2.05, 5.7859
2.10, 5.6876
2.15, 5.6503
2.20, 5.6965
2.25, 5.7290
2.30, 5.7408
2.35, 5.7665
2.40, 5.8151
2.45, 5.8516
2.50, 5.8661
2.55, 5.8711
2.60, 5.8570
2.65, 5.8468
2.70, 5.8448
2.75, 5.8409
2.80, 5.8321
2.85, 5.8222
2.90, 5.8095
2.95, 5.8000
3.00, 5.8007
3.05, 5.8043
3.10, 5.8179
3.15, 5.8291
3.20, 5.8310
3.25, 5.8345
3.30, 5.8460
3.35, 5.8570
3.40, 5.8659
3.45, 5.8722
3.50, 5.8624
3.55, 5.8546
3.60, 5.8630
3.65, 5.8710
3.70, 5.8741
3.75, 5.8780
3.80, 5.8925
3.85, 5.9070
3.90, 5.9231
3.95, 5.9392
4.00, 5.9536
40.00, 8.2000
