# Depth (km), Vp (km/s)
0.00, 2.1854
0.05, 2.3514
0.10, 2.5374
0.15, 2.7144
0.20, 2.8899
0.25, 3.0286
0.30, 3.1606
0.35, 3.3070
0.40, 3.4565
0.45, 3.6250
0.50, 3.7982
0.55, 3.9784
0.60, 4.1606
0.65, 4.3481
0.70, 4.5372
0.75, 4.7238
0.80, 4.9095
0.85, 5.0681
0.90, 5.2158
0.95, 5.3126
1.00, 5.3865
1.05, 5.4355
1.10, 5.4721
1.15, 5.5188
1.20, 5.5712
1.25, 5.6210
1.30, 5.6693
1.35, 5.6974
1.40, 5.7121
1.45, 5.7148
1.50, 5.7087
1.55, 5.7001
1.60, 5.6893
1.65, 5.6818
1.70, 5.6773
1.75, 5.7047
1.80, 5.7626
1.85, 5.7918
1.90, 5.7909
1.95, 5.7775
2.00, 5.7498
2.05, 5.7275
2.10, 5.7118
2.15, 5.7055
2.20, 5.7121
2.25, 5.7299
2.30, 5.7643
2.35, 5.8176
2.40, 5.9019
2.45, 5.9702
2.50, 6.0094
2.55, 6.0348
2.60, 6.0324
2.65, 6.0275
2.70, 6.0172
2.75, 6.0002
2.80, 5.9667
2.85, 5.9335
2.90, 5.9010
2.95, 5.8707
3.00, 5.8475
3.05, 5.8261
3.10, 5.8114
3.15, 5.7979
3.20, 5.7890
3.25, 5.7816
3.30, 5.7808
3.35, 5.7825
3.40, 5.7975
3.45, 5.8131
3.50, 5.8334
3.55, 5.8517
3.60, 5.8533
3.65, 5.8551
3.70, 5.8584
3.75, 5.8623
3.80, 5.8745
3.85, 5.8867
3.90, 5.9000
3.95, 5.9133
4.00, 5.9250
40.00, 8.2000
