# Depth (km), Vp (km/s)
0.00, 2.1149
0.05, 2.2178
0.10, 2.3326
0.15, 2.5478
0.20, 2.7783
0.25, 3.0192
0.30, 3.2621
0.35, 3.4795
0.40, 3.6915
0.45, 3.8809
0.50, 4.0647
0.55, 4.2314
0.60, 4.3933
0.65, 4.5403
0.70, 4.6825
0.75, 4.8156
0.80, 4.9453
0.85, 5.0657
0.90, 5.1823
0.95, 5.2852
1.00, 5.3818
1.05, 5.4672
1.10, 5.5469
1.15, 5.6242
1.20, 5.7001
1.25, 5.7786
1.30, 5.8588
1.35, 5.9341
1.40, 6.0062
1.45, 6.0605
1.50, 6.1017
1.55, 6.1204
1.60, 6.1212
1.65, 6.1060
1.70, 6.0768
1.75, 6.0427
1.80, 6.0036
1.85, 5.9403
1.90, 5.8517
1.95, 5.7617
2.00, 5.6701
2.05, 5.5945
2.10, 5.5391
2.15, 5.5164
2.20, 5.5388
2.25, 5.5702
2.30, 5.6151
2.35, 5.6659
2.40, 5.7265
2.45, 5.7814
2.50, 5.8261
2.55, 5.8637
2.60, 5.8875
2.65, 5.9006
2.70, 5.8900
2.75, 5.8830
2.80, 5.8847
2.85, 5.8838
2.90, 5.8759
2.95, 5.8666
3.00, 5.8532
3.05, 5.8403
3.10, 5.8295
3.15, 5.8194
3.20, 5.8117
3.25, 5.8049
3.30, 5.8020
3.35, 5.8013
3.40, 5.8124
3.45, 5.8244
3.50, 5.8414
3.55, 5.8560
3.60, 5.8511
3.65, 5.8468
3.70, 5.8483
3.75, 5.8505
3.80, 5.8629
3.85, 5.8754
3.90, 5.8891
3.95, 5.9028
4.00, 5.9149
40.00, 8.2000
