# Depth (km), Vp (km/s)
0.00, 2.0318
0.05, 2.1628
0.10, 2.3104
0.15, 2.5762
0.20, 2.8601
0.25, 3.1132
0.30, 3.3606
0.35, 3.5316
0.40, 3.6860
0.45, 3.8380
0.50, 3.9893
0.55, 4.1656
0.60, 4.3489
0.65, 4.5344
0.70, 4.7206
0.75, 4.8769
0.80, 5.0225
0.85, 5.1402
0.90, 5.2465
0.95, 5.3472
1.00, 5.4455
1.05, 5.5423
1.10, 5.6383
1.15, 5.7134
1.20, 5.7771
1.25, 5.8010
1.30, 5.8007
1.35, 5.7922
1.40, 5.7783
1.45, 5.7963
1.50, 5.8376
1.55, 5.8909
1.60, 5.9536
1.65, 5.9986
1.70, 6.0279
1.75, 6.0384
1.80, 6.0309
1.85, 6.0097
1.90, 5.9742
1.95, 5.9195
2.00, 5.8427
2.05, 5.7675
2.10, 5.6942
2.15, 5.6590
2.20, 5.6757
2.25, 5.6799
2.30, 5.6653
2.35, 5.6592
2.40, 5.6673
2.45, 5.6681
2.50, 5.6557
2.55, 5.6444
2.60, 5.6354
2.65, 5.6299
2.70, 5.6324
2.75, 5.6353
2.80, 5.6391
2.85, 5.6472
2.90, 5.6669
2.95, 5.6850
3.00, 5.6982
3.05, 5.7106
3.10, 5.7198
3.15, 5.7279
3.20, 5.7314
3.25, 5.7360
3.30, 5.7453
3.35, 5.7557
3.40, 5.7728
3.45, 5.7896
3.50, 5.8047
3.55, 5.8205
3.60, 5.8425
3.65, 5.8631
3.70, 5.8688
3.75, 5.8752
3.80, 5.8902
3.85, 5.9052
3.90, 5.9218
3.95, 5.9383
4.00, 5.9532
40.00, 8.2000
