# Depth (km), Vp (km/s)
0.00, 2.2831
0.05, 2.4141
0.10, 2.5620
0.15, 2.7761
0.20, 3.0004
0.25, 3.2456
0.30, 3.4946
0.35, 3.7536
0.40, 4.0147
0.45, 4.2576
0.50, 4.4958
0.55, 4.6679
0.60, 4.8210
0.65, 4.9137
0.70, 4.9868
0.75, 5.0805
0.80, 5.1817
0.85, 5.3279
0.90, 5.4924
0.95, 5.6529
1.00, 5.8117
1.05, 5.9015
1.10, 5.9568
1.15, 5.9571
1.20, 5.9271
1.25, 5.8822
1.30, 5.8282
1.35, 5.7828
1.40, 5.7429
1.45, 5.7252
1.50, 5.7236
1.55, 5.7233
1.60, 5.7238
1.65, 5.7282
1.70, 5.7360
1.75, 5.7661
1.80, 5.8176
1.85, 5.8236
1.90, 5.7822
1.95, 5.7405
2.00, 5.6984
2.05, 5.6605
2.10, 5.6280
2.15, 5.5992
2.20, 5.5754
2.25, 5.5630
2.30, 5.5678
2.35, 5.5853
2.40, 5.6239
2.45, 5.6563
2.50, 5.6775
2.55, 5.6967
2.60, 5.7123
2.65, 5.7198
2.70, 5.7094
2.75, 5.7061
2.80, 5.7201
2.85, 5.7324
2.90, 5.7396
2.95, 5.7464
3.00, 5.7515
3.05, 5.7543
3.10, 5.7493
3.15, 5.7458
3.20, 5.7487
3.25, 5.7535
3.30, 5.7676
3.35, 5.7812
3.40, 5.7924
3.45, 5.8036
3.50, 5.8154
3.55, 5.8286
3.60, 5.8524
3.65, 5.8745
3.70, 5.8796
3.75, 5.8852
3.80, 5.8986
3.85, 5.9120
3.90, 5.9269
3.95, 5.9417
4.00, 5.9549
40.00, 8.2000
