# Depth (km), Vp (km/s)
0.00, 2.0280
0.05, 2.1653
0.10, 2.3212
0.15, 2.5145
0.20, 2.7136
0.25, 2.8956
0.30, 3.0744
0.35, 3.2436
0.40, 3.4108
0.45, 3.5842
0.50, 3.7593
0.55, 3.9157
0.60, 4.0667
0.65, 4.1778
0.70, 4.2759
0.75, 4.3861
0.80, 4.5007
0.85, 4.6425
0.90, 4.7952
0.95, 4.9413
1.00, 5.0844
1.05, 5.1874
1.10, 5.2702
1.15, 5.3388
1.20, 5.3995
1.25, 5.4447
1.30, 5.4804
1.35, 5.5005
1.40, 5.5102
1.45, 5.5088
1.50, 5.4992
1.55, 5.4981
1.60, 5.5038
1.65, 5.5105
1.70, 5.5181
1.75, 5.5342
1.80, 5.5586
1.85, 5.5412
1.90, 5.4800
1.95, 5.4176
2.00, 5.3538
2.05, 5.3000
2.10, 5.2587
2.15, 5.2371
2.20, 5.2428
2.25, 5.2575
2.30, 5.2857
2.35, 5.3159
2.40, 5.3496
2.45, 5.3799
2.50, 5.4038
2.55, 5.4265
2.60, 5.4465
2.65, 5.4681
2.70, 5.4936
2.75, 5.5170
2.80, 5.5356
2.85, 5.5519
2.90, 5.5620
2.95, 5.5751
3.00, 5.5977
3.05, 5.6189
3.10, 5.6355
3.15, 5.6505
3.20, 5.6597
3.25, 5.6710
3.30, 5.6925
3.35, 5.7125
3.40, 5.7244
3.45, 5.7367
3.50, 5.7508
3.55, 5.7663
3.60, 5.7931
3.65, 5.8186
3.70, 5.8298
3.75, 5.8417
3.80, 5.8623
3.85, 5.8829
3.90, 5.9051
3.95, 5.9272
4.00, 5.9476
40.00, 8.2000
