ID YR MO DY HR MIN SEC latitude longitude DEPTH rms nPh Gap
225300048 2022 9 10 18 18 55.526475 45.99971 -130.029317 1.59875 0.150971 14 132.195
225400002 2022 9 11 1 59 32.888075 45.99693 -130.025421 1.71375 0.29083 13 81.3357
225400003 2022 9 11 3 17 45.280115 45.926478 -129.988517 1.25375 0.0993002 26 110.693
225400005 2022 9 11 3 34 33.658098 45.913963 -129.986109 1.3975 0.473765 8 192.618
225400006 2022 9 11 3 44 27.126428 45.91628 -129.998273 1.08125 0.161098 32 145.426
225400010 2022 9 11 4 48 49.542945 46.004345 -130.025411 1.65625 0.271816 11 177.21
225400011 2022 9 11 4 52 5.62692 46.025666 -130.012702 -0.18375 0.425351 9 287.354
225400012 2022 9 11 4 59 1.86999 46.009908 -130.031254 1.31125 0.239639 12 212.992
225400013 2022 9 11 5 40 56.270674 45.919061 -129.984638 1.59875 0.202954 12 185.191
225400017 2022 9 11 8 59 54.675549 46.021495 -130.001493 0.9375 0.375859 9 278.396
225400018 2022 9 11 9 0 44.463737 46.014079 -130.013208 -0.3275 0.497455 8 211.626
225400021 2022 9 11 9 40 13.191738 45.954751 -130.009405 1.2825 0.352775 9 154.892
225400025 2022 9 11 11 22 1.447053 45.92277 -129.997287 2.40375 0.124385 16 67.5239
225400033 2022 9 11 13 31 26.764381 45.986733 -130.023486 0.21875 0.476509 12 184.533
225400035 2022 9 11 13 37 56.312689 45.998784 -130.016644 1.65625 0.216375 17 98.9309
225400040 2022 9 11 14 18 14.943379 45.99971 -130.026392 1.36875 0.207471 19 101.938
225400042 2022 9 11 15 49 44.784072 45.884299 -130.073732 -0.4425 0.265235 9 328.326
225400043 2022 9 11 16 47 2.54646 45.958922 -130.00404 0.39125 0.280171 12 80.9912
225400044 2022 9 11 16 47 5.623788 45.958459 -129.999657 0.9375 0.335971 13 92.8807
225400046 2022 9 11 16 52 53.265858 45.951507 -129.986519 0.67875 0.46547 21 75.4131
225400047 2022 9 11 16 52 58.660359 45.956142 -129.99138 1.08125 0.330872 14 69.6812
225400048 2022 9 11 16 53 2.98878 45.966338 -129.997206 1.77125 0.269285 11 119.903
225400049 2022 9 11 16 55 24.615909 45.956605 -129.978228 1.3975 0.311478 12 101.21
225400050 2022 9 11 16 58 33.102382 45.955215 -129.971899 1.48375 0.33437 12 108.219
225400051 2022 9 11 16 58 38.876438 45.957996 -129.971893 1.31125 0.367238 14 98.3871
225400052 2022 9 11 18 11 9.309708 45.952433 -129.991388 1.82875 0.0687893 16 70.8174
225400056 2022 9 11 20 34 16.357931 45.953361 -129.987489 1.54125 0.17499 11 115.019
225400057 2022 9 11 20 47 36.694389 45.902839 -129.978346 -0.4425 0.437253 11 275.824
225400059 2022 9 11 23 44 25.072757 46.002492 -130.026389 1.54125 0.173998 13 172.867
225400060 2022 9 11 23 45 56.847034 45.923233 -129.988037 1.1675 0.0986286 16 139.935
225500000 2022 9 12 2 36 31.632699 45.960777 -129.991371 1.42625 0.0729719 15 104.063
225500001 2022 9 12 2 44 5.148807 45.958922 -129.991375 1.54125 0.0756397 14 92.2562
225500002 2022 9 12 3 53 56.989982 45.99971 -130.002994 0.90875 0.445248 15 138.589
225500003 2022 9 12 3 54 5.387792 45.997857 -130.001047 0.90875 0.413278 13 138.679
225500004 2022 9 12 3 54 10.924516 45.99693 -129.999099 0.90875 0.367122 10 143.445
225500005 2022 9 12 3 54 16.406018 45.99693 -129.999099 0.96625 0.434352 11 143.445
225500006 2022 9 12 4 10 34.191056 45.989514 -129.996189 0.79375 0.466459 17 105.299
225500007 2022 9 12 4 10 40.524066 45.987659 -129.997167 0.85125 0.390169 15 104.801
225500008 2022 9 12 4 10 46.471479 45.986269 -129.997657 0.8225 0.34575 12 104.017
225500009 2022 9 12 4 10 53.129639 45.988587 -129.99814 0.79375 0.323875 12 94.7228
225500010 2022 9 12 4 10 58.953355 45.986269 -129.997657 0.8225 0.35456 14 104.017
225500011 2022 9 12 4 11 4.45259 45.984879 -130.003995 0.90875 0.290484 10 103.75
225500012 2022 9 12 4 11 15.996451 45.983024 -130.004973 1.02375 0.371055 12 115.207
225500013 2022 9 12 4 24 14.209999 46.016396 -130.010767 0.79375 0.425164 10 188.537
225500017 2022 9 12 4 26 41.935351 45.976536 -129.989391 1.31125 0.292962 10 174.703
225500018 2022 9 12 4 26 53.72994 45.981171 -129.991331 1.42625 0.261852 10 131.094
225500029 2022 9 12 4 37 21.622111 45.972828 -129.98745 0.79375 0.470405 16 87.1748
225500030 2022 9 12 4 37 27.822435 45.970047 -129.9972 0.79375 0.320374 13 114.406
225500031 2022 9 12 4 37 33.180611 45.970047 -129.996225 0.79375 0.312774 13 115.109
225500032 2022 9 12 4 37 37.913024 45.967266 -130.003051 0.67875 0.302099 10 163.628
225500033 2022 9 12 4 58 57.354755 45.963558 -129.977726 0.85125 0.383204 15 100.47
225500034 2022 9 12 4 59 3.028713 45.961703 -129.976755 1.13875 0.40686 14 98.0976
225500035 2022 9 12 4 59 7.860255 45.957996 -129.981635 1.02375 0.349618 11 89.2156
225500037 2022 9 12 4 59 17.55858 45.964485 -130.00403 0.27625 0.498649 11 117.177
225500040 2022 9 12 5 1 25.905313 45.95985 -129.973837 0.96625 0.438211 15 99.5796
225500042 2022 9 12 5 1 39.286937 45.961703 -129.971884 0.96625 0.388359 16 113.652
225500043 2022 9 12 5 1 44.112812 45.960777 -129.975783 0.90875 0.324383 12 102.207
225500044 2022 9 12 5 1 52.727508 45.963558 -129.976751 0.85125 0.410287 11 104.381
225500045 2022 9 12 5 3 40.797374 45.972132 -129.997439 1.52688 0.123349 21 71.7497
225500046 2022 9 12 5 5 16.879292 45.957996 -129.96897 1.25375 0.409583 14 141.593
225500047 2022 9 12 5 5 25.206732 45.963558 -129.969931 1.13875 0.373327 14 130.43
225500048 2022 9 12 5 5 30.596099 45.957996 -129.977738 0.79375 0.420025 13 106.076
225500049 2022 9 12 5 5 35.389574 45.963558 -129.973828 0.90875 0.394828 13 115.962
225500050 2022 9 12 5 21 42.191682 45.973523 -129.997437 1.52688 0.142933 36 76.9392
225500051 2022 9 12 5 24 1.36774 45.971901 -129.997196 1.36875 0.0571866 14 71.2149
225500052 2022 9 12 5 24 38.892393 45.972596 -129.9989 1.41188 0.125843 23 71.2248
225500053 2022 9 12 5 25 11.474194 45.973986 -129.995974 1.52688 0.0976221 28 81.5455
225500054 2022 9 12 5 26 54.099446 45.971901 -129.998171 1.31125 0.100088 16 69.9144
225500055 2022 9 12 5 31 1.179605 45.973754 -129.997193 1.48375 0.0797253 17 78.2653
225500059 2022 9 12 16 33 36.634352 46.034473 -129.96635 3.6975 0.290728 19 290.402
225500062 2022 9 12 22 27 8.031386 45.997857 -130.028345 1.42625 0.142846 20 110.266
225600000 2022 9 13 0 28 25.651214 45.924624 -129.9856 1.42625 0.0712637 14 71.6017
225600002 2022 9 13 2 59 19.257382 45.920915 -129.988529 1.13875 0.0811937 18 155.608
225600005 2022 9 13 5 59 41.539342 46.001101 -130.026878 1.6275 0.177216 17 145.364
225600006 2022 9 13 8 10 30.531437 45.964716 -129.999402 1.44063 0.111342 23 63.9987
225600010 2022 9 13 14 19 5.523164 45.909792 -130.039165 0.16125 0.458681 18 245.669
225600013 2022 9 13 18 55 51.256033 46.001565 -130.02834 1.48375 0.190769 13 174.526
225700003 2022 9 14 3 28 26.151935 45.99971 -130.027367 1.48375 0.151322 14 93.0171
225700004 2022 9 14 5 35 17.432056 46.008054 -130.015655 1.19625 0.271647 10 160.492
225700005 2022 9 14 5 37 42.406504 45.99971 -130.026392 1.54125 0.298585 11 101.938
225700006 2022 9 14 5 37 58.754079 46.001565 -130.031265 1.54125 0.165505 13 182.473
225700007 2022 9 14 5 41 51.472966 46.006895 -130.022726 1.15313 0.216717 27 179.601
225700008 2022 9 14 6 9 10.619368 46.011761 -130.025401 1.31125 0.14615 10 206.704
225700009 2022 9 14 6 20 36.319873 46.011761 -130.025401 1.36875 0.124062 11 206.704
225700010 2022 9 14 6 20 41.080156 46.001101 -130.017128 3.0075 0.388863 11 117.304
225700012 2022 9 14 6 42 18.837963 46.035168 -129.905132 -0.485625 0.408772 12 305.327
225700014 2022 9 14 6 48 48.922676 46.035284 -129.90501 -0.492813 0.474804 25 305.426
225700015 2022 9 14 6 54 10.984918 46.035284 -129.90501 -0.492813 0.408687 35 302.741
225700016 2022 9 14 6 56 7.740648 46.035284 -129.90501 -0.492813 0.36138 31 302.741
225700020 2022 9 14 7 25 27.234719 45.995307 -130.024205 1.21063 0.160401 36 77.8799
225700021 2022 9 14 7 44 4.630728 46.033082 -129.905383 -0.47125 0.41438 11 301.267
225700022 2022 9 14 8 25 4.980103 46.034937 -129.905377 -0.47125 0.363023 17 305.127
225700023 2022 9 14 8 35 28.664634 46.035284 -129.90501 -0.492813 0.412649 22 305.426
225700025 2022 9 14 9 17 23.282332 46.035284 -129.90501 -0.492813 0.370138 18 302.741
225700026 2022 9 14 9 22 3.030547 46.035168 -129.912449 -0.485625 0.404903 23 302.902
225700027 2022 9 14 9 28 25.010101 45.946872 -129.988476 0.73625 0.39624 14 82.519
225700028 2022 9 14 9 28 29.312531 45.945945 -129.989452 0.79375 0.316045 12 94.1999
225700031 2022 9 14 10 2 26.184293 46.002492 -130.029314 1.48375 0.457782 12 180.673
225700032 2022 9 14 12 29 47.993328 45.925087 -130.005559 0.2475 0.340402 12 158.257
225700033 2022 9 14 14 0 2.791736 45.99693 -130.026396 1.36875 0.159008 13 89.8745
225700034 2022 9 14 14 57 31.423117 45.99971 -130.027367 1.31125 0.152826 16 93.0171
225700036 2022 9 14 16 27 9.589604 45.923696 -129.995338 1.48375 0.0919243 20 65.8885
225800003 2022 9 15 1 12 49.600171 46.033082 -129.905383 -0.47125 0.412915 11 314.13
225800006 2022 9 15 1 13 4.261414 45.991831 -130.050285 -0.3275 0.332699 9 327.434
225800009 2022 9 15 1 23 0.042531 45.906547 -130.01727 0.0175 0.38403 13 206.118
