2022 9 6122929.5045N55.44129W59.76 1.08  0.30  0.20 1.00              1 
AEC3 OO  HHZ I U
A02A OO  HHZ I D
A03A OO  HHZ I U
A04A OO  HHZ I U
A14A OO  HHZ I U
                                                                     14 
2022 9 9215354.9145N56.70130W 3.66 0.74  0.30  0.20 1.00             15 
AAS2 OO  HHZ I U
ACC1 OO  HHZ I D
AEC1 OO  HHZ I D
AEC3 OO  HHZ I U
A04A OO  HHZ I U
A07A OO  HHZ I D
A08A OO  HHZ I D
A12A OO  HHZ I D
A14A OO  HHZ I D
                                                                     15 
2022 9 9232846.9545N57.42130W 2.22 1.86  0.30  0.20 1.00             16 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I U
ACC1 OO  HHZ I D
AEC1 OO  HHZ I U
A04A OO  HHZ I D
A07A OO  HHZ I D
A09A OO  HHZ I U
A11A OO  HHZ I U
A12A OO  HHZ I U
                                                                     16 
2022 910 0 445.8445N57.84129W59.88 1.50  0.30  0.20 1.00             17 
AAS1 OO  HHZ I U
AAS2 OO  HHZ I D
ACC1 OO  HHZ I U
AEC1 OO  HHZ I U
AEC2 OO  HHZ I U
AEC3 OO  HHZ I U
AID1 OO  HHZ I D
A01A OO  HHZ I D
A02A OO  HHZ I U
A03A OO  HHZ I U
A04A OO  HHZ I U
A05A OO  HHZ I U
A06A OO  HHZ I U
A07A OO  HHZ I U
A08A OO  HHZ I U
A10A OO  HHZ I U
A12A OO  HHZ I U
A14A OO  HHZ I D
                                                                     17 
2022 910 0 539.7345N57.66129W59.82 1.48  0.30  0.20 1.00             18 
ACC1 OO  HHZ I U
AEC1 OO  HHZ I U
AEC2 OO  HHZ I U
AEC3 OO  HHZ I D
A03A OO  HHZ I U
A05A OO  HHZ I U
A06A OO  HHZ I D
A07A OO  HHZ I U
A08A OO  HHZ I U
A10A OO  HHZ I U
A14A OO  HHZ I D
                                                                     18 
2022 910 04018.3045N56.88129W59.94 1.37  0.30  0.20 1.00             19 
AAS1 OO  HHZ I U
AAS2 OO  HHZ I U
ACC1 OO  HHZ I D
AEC2 OO  HHZ I D
AEC3 OO  HHZ I D
A01A OO  HHZ I U
A02A OO  HHZ I D
A03A OO  HHZ I U
A04A OO  HHZ I U
A06A OO  HHZ I D
A07A OO  HHZ I D
A09A OO  HHZ I U
                                                                     19 
2022 910152537.4745N57.06129W59.52 1.28  0.30  0.20 1.00             20 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I U
ACC1 OO  HHZ I U
AEC1 OO  HHZ I D
AEC3 OO  HHZ I D
AID1 OO  HHZ I D
A05A OO  HHZ I D
A06A OO  HHZ I U
A07A OO  HHZ I D
A08A OO  HHZ I U
A11A OO  HHZ I U
                                                                     20 
2022 910181412.8745N55.86130W 0.18 1.43  0.30  0.20 1.00             21 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I U
ACC1 OO  HHZ I U
AEC1 OO  HHZ I D
AEC2 OO  HHZ I D
AEC3 OO  HHZ I D
AID1 OO  HHZ I U
A01A OO  HHZ I U
A02A OO  HHZ I U
A03A OO  HHZ I U
A04A OO  HHZ I D
A13A OO  HHZ I D
                                                                     21 
2022 910181855.4446N 0.72130W 2.04 1.60  0.30  0.20 1.00             22 
AAS2 OO  HHZ I U
AEC1 OO  HHZ I D
AEC2 OO  HHZ I U
AEC3 OO  HHZ I U
A01A OO  HHZ I D
A02A OO  HHZ I U
A03A OO  HHZ I U
A04A OO  HHZ I D
A06A OO  HHZ I U
A09A OO  HHZ I D
                                                                     22 
2022 911 15932.6145N58.02130W 1.02 1.71  0.30  0.20 1.00             23 
AAS1 OO  HHZ I U
AAS2 OO  HHZ I U
ACC1 OO  HHZ I D
AEC1 OO  HHZ I U
AEC2 OO  HHZ I D
AEC3 OO  HHZ I D
A02A OO  HHZ I D
A03A OO  HHZ I U
A04A OO  HHZ I U
A09A OO  HHZ I D
                                                                     23 
2022 911 31745.2845N55.56129W59.46 1.25  0.30  0.20 1.00             24 
AAS1 OO  HHZ I U
AAS2 OO  HHZ I U
ACC1 OO  HHZ I U
AEC1 OO  HHZ I D
AEC2 OO  HHZ I D
AEC3 OO  HHZ I D
AID1 OO  HHZ I D
A05A OO  HHZ I D
A08A OO  HHZ I D
A10A OO  HHZ I D
A11A OO  HHZ I D
A12A OO  HHZ I U
A14A OO  HHZ I U
                                                                     24 
2022 911 34426.8845N54.90129W59.76 1.08  0.30  0.20 1.00             25 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I U
ACC1 OO  HHZ I D
AEC1 OO  HHZ I U
AEC2 OO  HHZ I D
AEC3 OO  HHZ I D
AID1 OO  HHZ I U
A06A OO  HHZ I U
A08A OO  HHZ I D
A10A OO  HHZ I D
