               1  18  12   6 1
AAS1   351.6  107.8  1  1    0.00    0.00
AAS2   315.4  114.9  1  1    0.00    0.00
ACC1    41.4  107.9  1  1    0.00    0.00
AEC1   314.1  107.6  1  1    0.00    0.00
AEC2   244.3   94.2 -1 -1    0.00    0.00
AEC3   133.6  100.8 -1 -1    0.00    0.00
AID1   198.5  103.2 -1 -1    0.00    0.00
A07A    82.3   72.8  1  1    0.00    0.00
A08A   356.1  115.4 -1  1    0.00    0.00
A11A   330.6  115.1  1  1    0.00    0.00
A13A   347.9  114.8 -1  1    0.00    0.00
A14A   332.4  112.0 -1  1    0.00    0.00
AAS1   351.6  107.8  0  0    0.11    0.86
AAS2   315.4  114.9  0  0    0.16    0.76
AEC3   133.6  100.8  0  0    0.53    1.13
AID1   198.5  103.2  0  0    0.10    1.01
A08A   356.1  115.4  0  0   -0.19    0.62
A13A   347.9  114.8  0  0    0.37    0.65
               2  16  11   5 1
AAS1   168.3   97.6 -1  1    0.00    0.00
AAS2   221.9   97.8  1  1    0.00    0.00
ACC1   134.5  106.4  1  1    0.00    0.00
AEC3   162.2  107.2 -1  1    0.00    0.00
AID1   176.5  107.2 -1  1    0.00    0.00
A02A   178.4  106.6  1  1    0.00    0.00
A03A   173.7  105.7  1  1    0.00    0.00
A04A   155.3  106.2  1  1    0.00    0.00
A05A   155.7  106.6  1  1    0.00    0.00
A06A   159.1  106.7  1  1    0.00    0.00
A07A   161.4  106.9  1  1    0.00    0.00
A02A   178.4  106.6  0  0    1.10    0.89
A03A   173.7  105.7  0  0    0.13    0.93
A04A   155.3  106.2  0  0    0.81    0.92
A06A   159.1  106.7  0  0    0.52    0.90
A07A   161.4  106.9  0  0    0.33    0.89
               3  19  14   5 1
AAS1   165.5  121.0  1  1    0.00    0.00
AAS2   223.1  121.2 -1 -1    0.00    0.00
ACC1   131.7  124.7  1  1    0.00    0.00
AEC1   191.0  121.3  1  1    0.00    0.00
AEC2   181.3  125.1 -1  1    0.00    0.00
AID1   175.6  125.2  1  1    0.00    0.00
A02A   177.2  124.8  1  1    0.00    0.00
A03A   171.7  121.3  1  1    0.00    0.00
A04A   152.9  124.6 -1  1    0.00    0.00
A05A   153.6  124.8  1  1    0.00    0.00
A06A   157.2  124.9  1  1    0.00    0.00
A07A   159.8  125.0 -1  1    0.00    0.00
A08A    30.1   95.4 -1 -1    0.00    0.00
A14A   192.5  120.6  1  1    0.00    0.00
A03A   171.7  121.3  0  0    0.29    0.43
A04A   152.9  124.6  0  0    0.55    0.42
A06A   157.2  124.9  0  0    0.28    0.38
A07A   159.8  125.0  0  0    0.68    0.36
A08A    30.1   95.4  0  0   -0.26    1.46
               4  12   9   3 1
AAS1   351.5   85.2  1  1    0.00    0.00
AAS2   309.4   96.3 -1  1    0.00    0.00
ACC1    51.7   94.2  1  1    0.00    0.00
AEC1   301.9   84.2  1  1    0.00    0.00
AEC2   221.6   79.3  1  1    0.00    0.00
AEC3   144.9   86.9  1  1    0.00    0.00
A05A    71.3   67.6  1 -1    0.00    0.00
A11A   327.4   97.0  1  1    0.00    0.00
A14A   327.7   94.2  1  1    0.00    0.00
AAS1   351.5   85.2  0  0    0.16    1.49
AEC3   144.9   86.9  0  0    0.59    1.62
A14A   327.7   94.2  0  0   -0.08    1.50
               5  17  13   4 1
AAS1   170.3  121.3 -1 -1    0.00    0.00
AAS2   218.7  121.3 -1 -1    0.00    0.00
ACC1   137.9  124.8  1 -1    0.00    0.00
AEC1   191.5  124.7 -1 -1    0.00    0.00
AEC2   182.4  125.1  1 -1    0.00    0.00
AEC3   163.3  125.2 -1 -1    0.00    0.00
AID1   177.0  125.2  1 -1    0.00    0.00
A02A   179.0  124.9 -1 -1    0.00    0.00
A04A   157.7  124.7  1 -1    0.00    0.00
A05A   157.7  124.9 -1 -1    0.00    0.00
A06A   160.8  125.0  1 -1    0.00    0.00
A07A   162.8  125.1 -1 -1    0.00    0.00
A11A   225.3  119.4  1 -1    0.00    0.00
A02A   179.0  124.9  0  0    0.63    0.30
A04A   157.7  124.7  0  0    0.53    0.44
A06A   160.8  125.0  0  0    0.83    0.41
A07A   162.8  125.1  0  0    0.28    0.39
               6  16  13   3 1
AAS1   165.6   85.2 -1 -1    0.00    0.00
AAS2   219.9   86.1  1  1    0.00    0.00
ACC1   133.2   91.5 -1 -1    0.00    0.00
AEC1   189.8   88.8 -1 -1    0.00    0.00
AEC3   161.1   91.7 -1 -1    0.00    0.00
AID1   175.3   91.7 -1 -1    0.00    0.00
A03A   171.4   87.6  1 -1    0.00    0.00
A04A   153.6   89.7 -1 -1    0.00    0.00
A05A   154.2   91.6  1 -1    0.00    0.00
A06A   157.6   91.6  1 -1    0.00    0.00
A07A   160.0   91.7  1 -1    0.00    0.00
A08A    37.3   58.1 -1 -1    0.00    0.00
A11A   228.8   73.5  1  1    0.00    0.00
A03A   171.4   87.6  0  0    0.68    1.75
A06A   157.6   91.6  0  0    0.14    2.12
A07A   160.0   91.7  0  0    0.41    2.08
               7  14   9   5 1
AAS1   184.0   66.3 -1  1    0.00    0.00
ACC1   116.9  101.0 -1  1    0.00    0.00
AEC1   216.2   96.0  1  1    0.00    0.00
AID1   182.3  105.0  1  1    0.00    0.00
A03A   189.6   83.4  1  1    0.00    0.00
A06A   158.3  102.2  1  1    0.00    0.00
A07A   161.9  104.1  1  1    0.00    0.00
A08A   357.7  100.9 -1  1    0.00    0.00
A11A   287.2   91.9  1  1    0.00    0.00
A03A   189.6   83.4  0  0    0.63    1.34
A06A   158.3  102.2  0  0    0.19    1.07
A07A   161.9  104.1  0  0    0.35    0.99
A08A   357.7  100.9  0  0   -0.32    1.10
A11A   287.2   91.9  0  0    0.58    1.77
               8  13   9   4 1
AAS1   350.2  100.6  1 -1    0.00    0.00
AAS2   315.8  102.6 -1 -1    0.00    0.00
ACC1    38.6  101.7 -1 -1    0.00    0.00
AEC2   251.1   75.4 -1 -1    0.00    0.00
AEC3   132.2   76.5 -1 -1    0.00    0.00
AID1   203.2   80.5 -1 -1    0.00    0.00
A05A    38.4   78.7  1 -1    0.00    0.00
A11A   330.5  103.0  1 -1    0.00    0.00
A14A   332.1  101.9 -1 -1    0.00    0.00
AAS1   350.2  100.6  0  0   -0.22    1.11
AEC3   132.2   76.5  0  0    0.33    1.00
AID1   203.2   80.5  0  0   -0.14    1.18
A14A   332.1  101.9  0  0   -0.20    1.05
               9  19  13   6 1
AAS1   343.9  116.2  1  1    0.00    0.00
AAS2   317.4  119.1  1  1    0.00    0.00
ACC1    23.9  115.0 -1 -1    0.00    0.00
AEC2   281.0  111.0 -1  1    0.00    0.00
AEC3   106.7   52.9 -1  1    0.00    0.00
AID1   240.6   98.8  1 -1    0.00    0.00
A05A    10.9  112.1 -1 -1    0.00    0.00
A07A    10.0   85.8 -1 -1    0.00    0.00
A08A   351.5  119.4 -1  1    0.00    0.00
A10A   354.8  119.1 -1 -1    0.00    0.00
A11A   329.6  119.2  1  1    0.00    0.00
A13A   343.0  119.0  1  1    0.00    0.00
A14A   330.6  118.8  1  1    0.00    0.00
AAS1   343.9  116.2  0  0    0.05    0.59
AAS2   317.4  119.1  0  0    0.16    0.59
AEC3   106.7   52.9  0  0    0.70    1.03
AID1   240.6   98.8  0  0   -0.02    1.17
A13A   343.0  119.0  0  0    0.14    0.50
A14A   330.6  118.8  0  0   -0.23    0.54
              10  18  14   4 1
AAS1   121.8   88.1  1  1    0.00    0.00
AAS2   256.3   87.9  1  1    0.00    0.00
ACC1   105.4  106.1 -1  1    0.00    0.00
AEC1   183.0   90.3  1  1    0.00    0.00
AEC2   173.3  106.2  1  1    0.00    0.00
AID1   167.4  106.8  1  1    0.00    0.00
A02A   163.6   97.6  1  1    0.00    0.00
