0	2.21623
0.05	2.28919
0.1	2.36869
0.15	2.57083
0.2	2.79184
0.25	2.96032
0.3	3.11913
0.35	3.22457
0.4	3.31847
0.45	3.4223
0.5	3.52862
0.55	3.6964
0.6	3.88173
0.65	4.11744
0.7	4.36945
0.75	4.60203
0.8	4.82753
0.85	4.98234
0.9	5.10842
0.95	5.15987
1	5.17761
1.05	5.18286
1.1	5.18186
1.15	5.22213
1.2	5.28518
1.25	5.37552
1.3	5.48243
1.35	5.58079
1.4	5.67344
1.45	5.73441
1.5	5.77221
1.55	5.77796
1.6	5.75807
1.65	5.7297
1.7	5.69392
1.75	5.69473
1.8	5.73057
1.85	5.75658
1.9	5.77231
1.95	5.77114
2	5.75066
2.05	5.73362
2.1	5.72088
2.15	5.71756
2.2	5.72714
2.25	5.75592
2.3	5.81351
2.35	5.88836
2.4	5.99162
2.45	6.08216
2.5	6.14962
2.55	6.20033
2.6	6.21753
2.65	6.22051
2.7	6.19199
2.75	6.15551
2.8	6.09944
2.85	6.04639
2.9	6.00165
2.95	5.96019
3	5.9289
3.05	5.90079
3.1	5.88381
3.15	5.86837
3.2	5.85907
3.25	5.8499
3.3	5.84136
3.35	5.83203
3.4	5.8184
3.45	5.80559
3.5	5.79808
3.55	5.78844
3.6	5.76179
3.65	5.73669
3.7	5.72742
3.75	5.71934
3.8	5.72804
3.85	5.73685
3.9	5.74778
3.95	5.75871
4	5.76902
40	8.2
