   0.0000000e+00   2.0747500e+00
   2.0000000e-01   3.0033000e+00
   4.0000000e-01   3.4927000e+00
   6.0000000e-01   4.2736500e+00
   8.0000000e-01   4.8896500e+00
   1.0000000e+00   5.1518000e+00
   1.2000000e+00   5.3430500e+00
   1.4000000e+00   5.4202308e+00
   1.6000000e+00   5.4656923e+00
   1.8000000e+00   5.5111538e+00
   2.0000000e+00   5.5566154e+00
   2.2000000e+00   5.6020769e+00
   2.4000000e+00   5.6475385e+00
   2.6000000e+00   5.6929173e+00
   2.8000000e+00   5.7514358e+00
   3.0000000e+00   5.8144168e+00
   3.2000000e+00   5.8773979e+00
   3.4000000e+00   5.9403789e+00
   3.6000000e+00   6.0033600e+00
   3.8000000e+00   6.0663411e+00
   4.0000000e+00   6.1293221e+00
   4.2000000e+00   6.1923032e+00
   4.4000000e+00   6.2552842e+00
   4.6000000e+00   6.3182653e+00
   4.8000000e+00   6.3812463e+00
   5.0000000e+00   6.4442274e+00
   5.2000000e+00   6.5072084e+00
   5.4000000e+00   6.5701895e+00
   5.6000000e+00   6.6331705e+00
   5.8000000e+00   6.6961516e+00
   6.0000000e+00   6.7591326e+00
   6.2000000e+00   6.8221137e+00
   6.4000000e+00   6.8850947e+00
   6.6000000e+00   6.9480758e+00
   6.8000000e+00   7.0110568e+00
   7.0000000e+00   7.0740379e+00
   7.2000000e+00   7.1370189e+00
   7.4000000e+00   7.5921274e+00
   7.6000000e+00   8.0000000e+00
   4.0000000e+01   8.2000000e+00
