#
100   737460.4152722   -130.0155   45.9429   0.62
 1222956     737503.6481150  -130.0155    45.9429    0.626
AS1A  U         39.9582        403.0811        1489.6071
AS2A  D         30.0351        716.3720        2400.8608
CC1A  U         47.3175        793.9184        2372.6875
EC1A  U         24.8391        168.1459        1008.1406
EC2A  U         38.5305        361.2592        1097.9545
EC3A  D         30.1559        586.5481        4218.5075
ID1A  U         35.7652        135.1064         519.2981
 1328074     737905.1746414  -130.0155    45.9429    0.623
AS1B  U         30.1896        370.0516        1409.8067
AS2B  D         24.8314        626.5059        2337.8409
CC1B  U         34.6759        744.5551        2244.0967
EC1B  U         27.1220        159.7396         948.6121
EC2B  U         32.3452        296.3099         972.8286
EC3B  D         36.4044        548.8581        4042.0223
ID1B  U        105.0304        182.7689         496.7459
 1337970     738074.6681577  -130.0154    45.9429    0.618
AS1C  U         46.4434        321.9385        1258.3909
AS2C  D         29.9271        559.4665        2001.1099
CC1C  U         75.0531        659.6158        2005.3106
EC1C  U         33.8164        147.3473         856.3629
EC2C  U         36.9945        256.3569         841.2590
EC3C  D         47.2514        532.5359        3549.1541
ID1C  U         58.9423        112.9612         444.2976
 1055829     736022.7552995  -130.0155    45.9428    0.617
AS1D  U         28.8669       2510.4873       10285.0954
AS2D  D         38.0356       4388.8676       13827.0841
CC1D  U         55.8938       4388.5688       14491.0140
EC1D  U         31.5838       1167.2825        7726.7957
EC2D  U         30.0880       1813.4298        5433.4686
EC3D  D         46.9407       6360.9726       23904.9497
ID1D  U         34.6423       2032.2395        3962.6840
 1025826     735990.1986305  -130.0155    45.9428    0.616
AS1E  U         51.5028        325.0959        1232.1085
AS2E  D         40.7326        612.2189        1481.0062
CC1E  U         60.0462       1224.7807        3461.4436
EC1E  U         35.3209        167.6838         971.4905
EC2E  U         31.8500        263.4882         736.5060
EC3E  D         51.1671        940.4775        2446.7895
ID1E  U         38.0512        272.3008         460.0725
 1321705     737833.4251337  -130.0154    45.9429    0.614
AS1F  U         26.3082        153.4250         499.9838
AS2F  D         28.8261        259.0397         841.0268
CC1F  U         43.2785        245.3566         778.9312
EC1F  U         34.0401         73.7979         361.8961
EC2F  U         36.1053        121.8695         338.1058
EC3F  D         41.8717        228.3541        1545.7920
ID1F  U         52.9622         74.1827         193.2910
 1319192     737799.2599499  -130.0156    45.9429    0.620
AS1G  U         45.7182        209.9916         733.7811
AS2G  D         29.5649        322.4783        1138.3321
CC1G  U         62.3987        415.1911        1191.2880
EC1G  U         35.2373         98.8095         482.1963
EC2G  U         51.9313        154.3395         510.4010
EC3G  D         60.2291        299.9537        2049.9712
ID1G  U         41.3190         96.1927         264.1035
 1222926     737503.1621459  -130.0156    45.9428    0.620
AS1H  U         23.2141        321.7207        1033.4965
AS2H  D         27.4056        402.9042        1744.6748
CC1H  U         41.5699        574.8490        1594.1912
EC1H  U         33.9770        164.5987         752.7415
EC2H  U         45.4241        301.2168         786.4145
EC3H  D         28.8934        453.2469        3371.2206
ID1H  U         50.3528        121.3559         360.9926
 1211181     737326.2688850  -130.0156    45.9429    0.613
AS1I  U         26.3481        278.0445         883.3136
AS2I  D         24.2475        323.2258        1493.9832
CC1I  U         36.7264        500.3276        1347.7631
EC1I  U         28.4326        151.9593         668.5723
EC2I  U         41.0801        196.4322         640.3955
EC3I  D         29.7602        317.5794        2517.3826
ID1I  U         53.4789         95.0487         291.1924
 1328744     737910.7277292  -130.0156    45.9428    0.623
AS1J  U         16.6395        126.0109         389.8094
AS2J  D         30.1029        156.1416         669.4516
CC1J  U         19.7849        191.8463         593.0505
EC1J  U         20.9684         65.5360         273.9752
EC2J  U         18.2051        106.5475         264.2501
EC3J  D         27.8601        182.2644        1336.6929
ID1J  U         27.0419         63.2560         148.7940
 1335507     738032.1600188  -130.0156    45.9429    0.611
AS1K  U         26.1201        192.0430         562.5615
AS2K  D         36.0159        223.4615         990.2434
CC1K  U         40.8214        317.8067         911.6925
EC1K  U         40.7711         89.1667         418.8966
EC2K  U         31.0069        128.6111         359.3616
EC3K  D         41.6881        219.6662        1613.4507
ID1K  U         47.9630         76.7103         193.4321
 1315691     737742.0967354  -130.0155    45.9430    0.613
AS1L  U         43.7579        147.7942         575.9603
AS2L  D         36.2542        297.2356         934.2890
CC1L  U         70.0746        338.3104         942.1514
EC1L  U         49.3902         69.8441         370.2238
EC2L  U         47.0417        132.3549         399.5468
EC3L  D         39.2430        222.8549        1470.4230
ID1L  U         54.3065         70.9780         212.2386
 1210057     737319.1545061  -130.0156    45.9427    0.620
AS1M  U         23.9413         84.9549         226.9660
AS2M  D         30.2848         87.5012         374.0110
CC1M  U         37.3860        115.3589         312.8968
EC1M  U         23.5851         44.4018         166.9128
EC2M  U         36.0170         69.5194         170.0990
EC3M  D         44.2405        117.8759         797.1536
ID1M  U         50.4458         57.6287          99.4498
 1321144     737825.9812005  -130.0156    45.9429    0.609
AS1N  U         40.9149        290.8949         927.6590
AS2N  D         43.9036        272.6765        1554.5556
CC1N  U        115.6004        565.9137        1512.9089
EC1N  U         40.7850        138.7384         678.6650
EC2N  U         47.0817        232.5037         660.1555
EC3N  D         63.5559        337.2734        2626.5495
ID1N  U         48.3725         93.3799         286.0977
 1197623     737117.5479351  -130.0157    45.9429    0.620
AS1O  U         36.0375        214.7203         668.5611
AS2O  D         47.2201        245.7073        1240.0556
CC1O  U        112.3067        390.7285        1042.4884
EC1O  U         36.1921        139.5265         552.3245
EC2O  U         41.2511        161.1853         493.2664
EC3O  D         48.2569        319.2496        1928.6361
ID1O  U         45.6183         95.6318         243.3096
*
