0	2.08942
0.05	2.22002
0.1	2.36701
0.15	2.5799
0.2	2.80294
0.25	3.05117
0.3	3.30406
0.35	3.55014
0.4	3.79474
0.45	4.01092
0.5	4.21999
0.55	4.3901
0.6	4.54908
0.65	4.67125
0.7	4.78149
0.75	4.86625
0.8	4.94173
0.85	5.01179
0.9	5.07966
0.95	5.15288
1	5.22852
1.05	5.31183
1.1	5.39898
1.15	5.48937
1.2	5.58155
1.25	5.67215
1.3	5.76178
1.35	5.84756
1.4	5.93076
1.45	6.00611
1.5	6.07573
1.55	6.13171
1.6	6.17679
1.65	6.20467
1.7	6.21749
1.75	6.21826
1.8	6.2075
1.85	6.16949
1.9	6.10299
1.95	6.00912
2	5.88396
2.05	5.77361
2.1	5.68177
2.15	5.64782
2.2	5.69308
2.25	5.72765
2.3	5.7462
2.35	5.77776
2.4	5.83078
2.45	5.8719
2.5	5.89146
2.55	5.89983
2.6	5.88585
2.65	5.87446
2.7	5.86881
2.75	5.86075
2.8	5.84673
2.85	5.83316
2.9	5.82086
2.95	5.81354
3	5.82163
3.05	5.82862
3.1	5.83175
3.15	5.8346
3.2	5.83639
3.25	5.83866
3.3	5.84318
3.35	5.84907
3.4	5.86238
3.45	5.87394
3.5	5.87415
3.55	5.87461
3.6	5.87709
3.65	5.8795
3.7	5.88111
3.75	5.88351
3.8	5.89705
3.85	5.91066
3.9	5.92586
3.95	5.94103
4	5.95458
40	8.2
